lack_of_cohesion_in_methods,number_of_methods,number_of_attributes,full_name,is_code_smell
211,26,19,ch.blinkenlights.android.vanilla.MediaAdapter,true
62,16,16,ch.blinkenlights.android.vanilla.PlaylistActivity,true
192,21,18,ch.blinkenlights.android.vanilla.MediaUtils,true
74,17,11,ch.blinkenlights.android.vanilla.FileSystemAdapter,true
614,36,32,ch.blinkenlights.android.vanilla.PlaybackActivity,true
302,29,42,ch.blinkenlights.android.vanilla.FullPlaybackActivity,true
455,38,40,ch.blinkenlights.android.vanilla.LibraryActivity,true
1734,80,99,ch.blinkenlights.android.vanilla.PlaybackService,true
318,33,38,ch.blinkenlights.android.vanilla.LibraryPagerAdapter,true
175,22,15,com.amaze.filemanager.activities.DbViewer,true
586,44,85,com.amaze.filemanager.fragments.Main,true
64,17,12,com.amaze.filemanager.ui.Layoutelements,true
87,19,12,com.amaze.filemanager.adapters.ZipAdapter,true
1997,70,85,com.amaze.filemanager.activities.MainActivity,true
65,22,28,com.amaze.filemanager.adapters.Recycleradapter,true
69,23,43,com.amaze.filemanager.fragments.ZipViewer,true
101,18,16,com.amaze.filemanager.activities.TextReader,true
114,21,12,com.amaze.filemanager.adapters.RarAdapter,true
82,16,10,com.androidemu.nes.FileChooser,true
2666,85,38,com.androidemu.nes.EmulatorActivity,true
482,32,21,com.androidemu.Emulator,true
297,30,28,com.androidemu.nes.NetPlayService,true
206,25,23,com.androidemu.nes.input.VirtualKeypad,true
68,16,17,org.bottiger.podcast.DiscoveryFragment,true
168,24,20,org.bottiger.podcast.views.PlayPauseImageView,true
673,43,23,org.bottiger.podcast.provider.Subscription,true
112,20,20,org.bottiger.podcast.adapters.decoration.DragSortRecycler,true
3890,96,42,org.bottiger.podcast.provider.FeedItem,true
131,22,22,org.bottiger.podcast.views.PlayerButtonView,true
191,22,34,org.bottiger.podcast.DrawerActivity,true
150,20,12,org.bottiger.podcast.adapters.PlaylistAdapter,true
144,20,21,org.bottiger.podcast.SubscriptionsFragment,true
154,20,14,org.bottiger.podcast.service.Downloader.EpisodeDownloadManager,true
2732,81,57,org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller,true
155,19,11,org.bottiger.podcast.PodcastBaseFragment,true
62,16,9,org.bottiger.podcast.adapters.DiscoverySearchAdapter,true
135,18,21,org.bottiger.podcast.service.PodcastService,true
237,26,31,org.bottiger.podcast.FeedActivity,true
219,26,21,org.bottiger.podcast.ViewServer,true
1915,67,52,org.bottiger.podcast.views.MultiShrink.playlist.MultiShrinkScroller,true
66,17,9,org.bottiger.podcast.views.SlidingTab.SlidingTabLayout,true
225,35,29,org.bottiger.podcast.service.PlayerService,true
214,29,22,org.bottiger.podcast.Player.SoundWavesPlayer,true
217,31,40,org.bottiger.podcast.views.TopPlayer,true
