lack_of_cohesion_in_methods,number_of_methods,number_of_attributes,full_name
0,2,1,ch.blinkenlights.battery.BlinkenlightsBattery$2
0,2,1,ch.blinkenlights.battery.BlinkenlightsBattery$1
0,2,1,ch.blinkenlights.battery.BlinkenlightsBatteryService$LocalBinder
1,2,1,ch.blinkenlights.battery.BlinkenlightsBattery$6
1,2,0,ch.blinkenlights.battery.BlinkenlightsBatteryChangeReceiver
0,2,2,ch.blinkenlights.battery.BlinkenlightsBattery$5
0,2,1,ch.blinkenlights.battery.BlinkenlightsBattery$4
1,2,0,ch.blinkenlights.battery.BlinkenlightsBatteryBootReceiver
0,2,1,ch.blinkenlights.battery.BlinkenlightsBattery$3
0,2,1,ch.blinkenlights.battery.BlinkenlightsBatteryService$1
1,3,1,ch.blinkenlights.battery.BBServiceConnection
0,5,2,org.codehaus.jackson.impl.ObjectWContext
10,5,0,org.codehaus.jackson.map.ser.ArraySerializers$StringArraySerializer
0,1,0,org.codehaus.jackson.map.JsonSerializable
9,6,3,org.codehaus.jackson.io.NumberInput
9,7,2,org.codehaus.jackson.util.JsonParserSequence
1,3,1,aarddict.PreferredDictionaryComparator
3,3,0,org.codehaus.jackson.map.deser.ArrayDeserializers$ByteDeser
0,1,0,org.codehaus.jackson.map.annotate.JsonCachable
3,3,0,org.codehaus.jackson.map.deser.StdDeserializer$LongDeserializer
0,2,1,aarddict.android.DictionariesActivity$3$1
0,1,0,org.codehaus.jackson.map.ResolvableSerializer
0,4,1,org.codehaus.jackson.map.util.EnumValues
0,3,3,aarddict.android.ArticleViewActivity$8
0,2,2,aarddict.android.ArticleViewActivity$7
0,2,1,aarddict.android.ArticleViewActivity$9
0,2,1,aarddict.android.ArticleViewActivity$2
0,2,1,aarddict.android.ArticleViewActivity$1
0,4,1,aarddict.android.ArticleViewActivity$4
1,3,1,aarddict.android.ArticleViewActivity$3
0,2,1,aarddict.android.ArticleViewActivity$6
0,2,2,aarddict.android.ArticleViewActivity$5
6,4,1,org.codehaus.jackson.map.ser.ToStringSerializer
2,4,2,org.codehaus.jackson.map.util.ObjectBuffer$Node
0,1,0,aarddict.Volume$FormatException
0,8,0,org.codehaus.jackson.map.TypeDeserializer
4,6,4,org.codehaus.jackson.map.ser.ContainerSerializers$AsArraySerializer
0,4,3,org.codehaus.jackson.impl.StreamBasedParserBase
3,3,0,org.codehaus.jackson.map.deser.ArrayDeserializers$IntDeser
0,3,2,org.codehaus.jackson.map.ser.BasicSerializerFactory$SerializerMapping
3,4,1,org.codehaus.jackson.map.type.TypeBase
1,3,2,org.codehaus.jackson.map.deser.StdDeserializerProvider$WrappedDeserializer
0,1,0,org.codehaus.jackson.map.annotate.JsonView
4,4,1,org.codehaus.jackson.map.ser.StdSerializers$BooleanSerializer
0,2,1,org.codehaus.jackson.map.deser.StdDeserializer$PrimitiveOrWrapperDeserializer
0,1,1,aarddict.ArticleNotFound
10,5,0,org.codehaus.jackson.map.deser.UntypedObjectDeserializer
1,3,1,org.codehaus.jackson.map.ext.JodaDeserializers$JodaDeserializer
0,1,0,aarddict.android.Lookup
3,3,0,org.codehaus.jackson.map.deser.StdDeserializer$CharacterDeserializer
0,1,1,org.codehaus.jackson.map.ser.PropertyBuilder$1
0,1,2,org.codehaus.jackson.map.deser.StdDeserializer$1
