lack_of_cohesion_in_methods,number_of_methods,number_of_attributes,is_code_smell
211,26,19,true
62,16,16,true
192,21,18,true
74,17,11,true
614,36,32,true
302,29,42,true
455,38,40,true
1734,80,99,true
318,33,38,true
175,22,15,true
586,44,85,true
64,17,12,true
87,19,12,true
1997,70,85,true
65,22,28,true
69,23,43,true
101,18,16,true
114,21,12,true
82,16,10,true
2666,85,38,true
482,32,21,true
297,30,28,true
206,25,23,true
68,16,17,true
168,24,20,true
673,43,23,true
112,20,20,true
3890,96,42,true
131,22,22,true
191,22,34,true
150,20,12,true
144,20,21,true
154,20,14,true
2732,81,57,true
155,19,11,true
62,16,9,true
135,18,21,true
237,26,31,true
219,26,21,true
1915,67,52,true
66,17,9,true
225,35,29,true
214,29,22,true
217,31,40,true
296,25,20,true
63,15,9,true
557,43,19,true
174,24,26,true
206,32,21,true
200,24,14,true
197,26,30,true
507,38,12,true
104,33,9,true
71,15,9,true
57,15,18,true
168,20,12,true
507,35,26,true
261,27,24,true
497,34,23,true
222,25,11,true
2020,69,74,true
538,36,22,true
180,20,9,true
698,40,22,true
533,34,9,true
87,15,9,true
318,28,20,true
1354,61,24,true
177,23,11,true
92,16,12,true
52,17,31,true
165,23,11,true
90,17,15,true
113,18,10,true
136,20,27,true
1533,59,34,true
186,21,13,true
620,37,25,true
63,18,15,true
453,31,23,true
945,75,14,true
245,23,78,true
69,15,9,true
130,20,9,true
103,18,10,true
33640,260,9,true
331,30,17,true
71,15,11,true
1122,52,13,true
466,33,9,true
592,36,16,true
526,36,15,true
206,24,9,true
289,27,28,true
105,19,10,true
1230,53,14,true
148,21,10,true
1224,52,47,true
475,39,19,true
50,17,20,true
1183,54,40,true
883,47,15,true
252,29,13,true
65,15,17,true
2038,73,42,true
168,29,13,true
1621,59,28,true
424,37,23,true
127,18,9,true
628,40,79,true
92,16,10,true
665,42,27,true
1872,68,37,true
172,25,23,true
3050,85,75,true
153,18,9,true
308,29,21,true
175,31,13,true
196,24,14,true
2794,88,57,true
29,15,11,true
358,32,17,true
506,36,32,true
602,40,22,true
196,25,10,true
319,30,13,true
359,30,15,true
2306,72,27,true
1001,54,39,true
108,17,11,true
110,17,9,true
778,41,26,true
129,18,14,true
102,16,10,true
54,17,20,true
287,30,15,true
139,19,10,true
238,25,14,true
111,19,14,true
630,37,19,true
301,27,25,true
63,15,12,true
361,30,13,true
351,31,20,true
295,30,22,true
238,24,10,true
342,32,23,true
1834,64,18,true
387,30,11,true
244,25,12,true
925,47,29,true
185,26,46,true
1378,57,23,true
878,48,22,true
189,26,11,true
429,35,22,true
81,15,10,true
1005,50,34,true
2764,77,36,true
173,23,13,true
454,36,12,true
130,21,12,true
1304,57,36,true
39,19,18,true
234,25,17,true
344,28,14,true
695,47,14,true
1387,55,16,true
5949,114,37,true
324,29,27,true
189,22,17,true
112,24,15,true
515,35,11,true
110,17,14,true
281,30,13,true
78,16,15,true
114,20,17,true
165,31,27,true
1771,63,23,true
5772,113,44,true
319,30,25,true
396,29,10,true
604,41,21,true
116,25,28,true
359,31,18,true
93,19,11,true
28,17,39,true
195,23,11,true
45,15,17,true
598,44,12,true
688,41,10,true
119,19,24,true
91,18,14,true
526,40,11,true
2290,77,28,true
660,45,11,true
126,45,9,true
3267,82,10,true
636,45,15,true
411,35,18,true
1324,68,10,true
165,23,9,true
13128,169,77,true
332,33,9,true
503,38,24,true
286,28,9,true
364,44,15,true
70,16,11,true
1184,60,18,true
578,40,12,true
3001,90,23,true
1003,47,20,true
108,17,18,true
1262,57,18,true
483,38,19,true
860,49,23,true
277,27,11,true
359,31,10,true
159,19,11,true
846,44,9,true
615,39,18,true
47,18,14,true
670,40,15,true
413,31,13,true
368,33,28,true
317,30,11,true
150,20,10,true
1837,71,29,true
116,25,17,true
96,16,16,true
107,26,10,true
582,37,25,true
470,37,23,true
763,43,25,true
894,48,34,true
320,32,26,true
300,28,13,true
1099,59,37,true
235,26,13,true
103,18,12,true
444,36,45,true
132,25,12,true
255,43,29,true
218,28,14,true
108,17,10,true
44,16,14,true
201,22,19,true
112,16,11,true
258,32,39,true
116,17,10,true
205,26,26,true
1165,54,24,true
1299,55,29,true
196,24,14,true
343,30,12,true
54,17,58,true
3965,102,64,true
62,20,13,true
4386,105,63,true
218,24,31,true
80,20,22,true
258,29,21,true
93,23,27,true
110,21,31,true
154,20,14,true
2580,77,24,true
301,30,18,true
350,32,21,true
168,21,11,true
11939,179,152,true
906,49,25,true
161,22,32,true
95,15,15,true
5747,122,36,true
4486,108,38,true
6238,133,42,true
1826,64,24,true
18994,221,125,true
152,25,10,true
43,15,13,true
98,16,10,true
1560,60,19,true
112,36,38,true
184,25,19,true
164,29,13,true
141,23,10,true
888,44,14,true
107,19,16,true
704,40,10,true
228,25,14,true
1054,48,17,true
80,17,10,true
133,26,14,true
510,37,16,true
57,15,10,true
57,39,12,true
143,26,11,true
928,52,15,true
2139,78,28,true
204,24,13,true
542,36,17,true
84,16,9,true
59,19,20,true
94,24,12,true
105,19,10,true
150,21,21,true
726,44,16,true
50,17,21,true
781,51,33,true
58,16,16,true
622,41,43,true
51,19,9,true
276,29,32,true
231,30,49,true
844,48,26,true
887,50,40,true
757,43,19,true
147,22,12,true
652,44,19,true
64,17,13,true
247,26,16,true
86,17,19,true
51,26,11,true
139,19,11,true
48,13,38,true
1255,62,12,true
285,30,17,true
47,23,9,true
124,21,19,true
370,29,11,true
1414,56,15,true
57,14,22,true
313,26,9,true
246,29,18,true
298,29,22,true
40,16,18,true
33,11,9,true
813,42,13,true
559,39,27,true
82,17,18,true
52,13,28,true
199,23,17,true
78,17,13,true
76,16,27,true
207,23,9,true
187,22,10,true
371,31,12,true
104,17,13,true
15,11,9,true
16,12,21,true
183,23,11,true
248,25,19,true
12,8,13,true
137,18,11,true
273,26,19,true
25,10,10,true
135,35,25,true
2077,78,50,true
208,28,31,true
131,19,13,true
765,46,23,true
65,15,12,true
228,28,21,true
267,26,18,true
379,38,20,true
36,13,16,true
2958,89,43,true
138,24,16,true
908,48,44,true
536,41,11,true
