cyclomatic_complexity,number_of_instructions,has_method,is_code_smell
5,39,True,true
5,32,True,true
6,53,True,true
4,58,True,true
4,64,True,true
4,78,True,true
4,40,True,true
4,43,True,true
5,28,True,true
4,19,True,true
4,40,True,true
4,19,True,true
4,18,True,true
5,51,True,true
5,28,True,true
5,38,True,true
4,21,True,true
4,51,True,true
5,22,True,true
6,34,True,true
8,116,True,true
10,44,True,true
23,227,True,true
13,100,True,true
4,41,True,true
9,141,True,true
11,103,True,true
4,56,True,true
4,32,True,true
20,63,True,true
6,50,True,true
5,27,True,true
5,51,True,true
5,28,True,true
55,5,True,true
33,4,True,true
46,4,True,true
1,1,False,false
1,2,True,false
1,3,False,false
1,4,False,false
2,5,True,false
3,28,False,false
1,2,False,false
1,1,False,false
1,2,True,false
1,3,False,false
1,2,False,false
1,26,True,false
1,1,False,false
1,3,False,false
1,7,False,false
4,33,False,false
2,5,False,false
1,31,False,false
19,146,False,false
1,1,False,false
1,5,False,false
2,9,False,false
3,7,False,false
4,81,False,false
1,7,False,false
78,261,False,false
1,2,True,false
2,6,True,false
1,5,False,false
2,6,True,false
3,7,False,false
1,2,False,false
1,1,False,false
1,2,True,false
1,5,False,false
2,8,False,false
6,69,False,false
1,10,False,false
1,1,False,false
1,2,True,false
3,7,False,false
1,3,False,false
6,34,False,false
2,7,False,false
1,2,True,false
10,46,False,false
1,3,True,false
1,3,False,false
1,13,False,false
1,3,True,false
1,5,False,false
1,2,False,false
1,26,False,false
1,1,False,false
1,4,False,false
1,1,False,false
1,10,False,false
1,4,False,false
2,5,False,false
1,4,False,false
1,3,True,false
1,4,False,false
2,11,False,false
1,4,False,false
1,2,False,false
1,4,False,false
1,2,False,false
1,3,False,false
1,3,True,false
1,3,False,false
1,4,False,false
1,4,False,false
4,12,False,false
1,1,False,false
1,10,False,false
6,24,False,false
1,9,False,false
1,8,False,false
2,4,True,false
1,8,False,false
37,233,False,false
5,12,True,false
3,10,False,false
1,9,False,false
1,1,False,false
3,11,True,false
1,8,False,false
2,13,False,false
1,1,False,false
1,1,False,false
1,5,False,false
2,28,False,false
2,11,True,false
1,1,False,false
1,5,False,false
1,7,False,false
1,2,True,false
1,7,False,false
3,23,False,false
1,2,True,false
1,1,False,false
2,5,True,false
1,1,False,false
1,4,True,false
1,1,False,false
1,3,False,false
1,2,True,false
2,5,False,false
1,2,False,false
2,7,True,false
1,1,False,false
1,3,False,false
1,2,True,false
1,1,False,false
1,3,True,false
1,4,False,false
5,30,False,false
1,2,True,false
1,1,False,false
1,3,True,false
1,2,True,false
1,3,False,false
1,2,False,false
7,36,False,false
1,2,True,false
1,2,False,false
6,34,False,false
1,1,False,false
1,3,False,false
1,3,True,false
1,5,False,false
9,55,False,false
1,3,True,false
1,2,True,false
1,1,False,false
