cyclomatic_complexity,number_of_instructions,has_method,is_code_smell
1,2,True,False
1,2,True,False
10,46,False,False
6,34,False,False
1,9,False,False
1,2,True,False
1,26,False,False
1,1,False,False
3,7,False,False
1,1,False,False
1,13,False,False
1,7,False,False
1,7,False,False
1,9,False,False
2,7,False,False
1,5,False,False
1,4,False,False
1,3,True,False
9,55,False,False
2,11,True,False
1,1,False,False
1,2,True,False
1,7,False,False
1,2,False,False
2,11,False,False
1,1,False,False
2,5,False,False
1,3,False,False
1,2,False,False
1,4,False,False
3,11,True,False
1,5,False,False
3,7,False,False
1,3,True,False
1,4,False,False
1,4,False,False
1,10,False,False
5,39,True,True
5,32,True,True
6,53,True,True
4,58,True,True
4,64,True,True
4,78,True,True
4,40,True,True
4,43,True,True
5,28,True,True
4,19,True,True
4,40,True,True
4,19,True,True
4,18,True,True
5,51,True,True
5,28,True,True
5,38,True,True
4,21,True,True
4,51,True,True
5,22,True,True
6,34,True,True
8,116,True,True
10,44,True,True
23,227,True,True
13,100,True,True
4,41,True,True
9,141,True,True
11,103,True,True
4,56,True,True
4,32,True,True
20,63,True,True
6,50,True,True
5,27,True,True
5,51,True,True
5,28,True,True
55,5,True,True
33,4,True,True
46,4,True,True
