cyclomatic_complexity,number_of_instructions,has_method,is_code_smell
1.0,1.0,0.0,False
1.0,2.0,1.0,False
1.0,3.0,0.0,False
1.0,4.0,0.0,False
2.0,5.0,1.0,False
1.0,2.0,0.0,False
1.0,1.0,0.0,False
1.0,2.0,1.0,False
1.0,3.0,0.0,False
1.0,2.0,0.0,False
1.0,1.0,0.0,False
1.0,3.0,0.0,False
1.0,7.0,0.0,False
2.0,5.0,0.0,False
1.0,1.0,0.0,False
1.0,5.0,0.0,False
2.0,9.0,0.0,False
3.0,7.0,0.0,False
1.0,7.0,0.0,False
1.0,2.0,1.0,False
2.0,6.0,1.0,False
1.0,5.0,0.0,False
2.0,6.0,1.0,False
3.0,7.0,0.0,False
1.0,2.0,0.0,False
1.0,1.0,0.0,False
1.0,2.0,1.0,False
1.0,5.0,0.0,False
2.0,8.0,0.0,False
1.0,10.0,0.0,False
1.0,1.0,0.0,False
1.0,2.0,1.0,False
3.0,7.0,0.0,False
1.0,3.0,0.0,False
2.0,7.0,0.0,False
1.0,2.0,1.0,False
1.0,3.0,1.0,False
1.0,3.0,0.0,False
1.0,13.0,0.0,False
1.0,3.0,1.0,False
1.0,5.0,0.0,False
1.0,2.0,0.0,False
1.0,1.0,0.0,False
1.0,4.0,0.0,False
1.0,1.0,0.0,False
1.0,10.0,0.0,False
1.0,4.0,0.0,False
2.0,5.0,0.0,False
1.0,4.0,0.0,False
1.0,3.0,1.0,False
1.0,4.0,0.0,False
2.0,11.0,0.0,False
1.0,4.0,0.0,False
1.0,2.0,0.0,False
1.0,4.0,0.0,False
1.0,2.0,0.0,False
1.0,3.0,0.0,False
1.0,3.0,1.0,False
1.0,3.0,0.0,False
1.0,4.0,0.0,False
1.0,4.0,0.0,False
4.0,12.0,0.0,False
1.0,1.0,0.0,False
1.0,10.0,0.0,False
1.0,9.0,0.0,False
1.0,8.0,0.0,False
2.0,4.0,1.0,False
1.0,8.0,0.0,False
5.0,12.0,1.0,False
3.0,10.0,0.0,False
1.0,9.0,0.0,False
1.0,1.0,0.0,False
3.0,11.0,1.0,False
1.0,8.0,0.0,False
2.0,13.0,0.0,False
1.0,1.0,0.0,False
1.0,1.0,0.0,False
1.0,5.0,0.0,False
2.0,11.0,1.0,False
1.0,1.0,0.0,False
1.0,5.0,0.0,False
1.0,7.0,0.0,False
1.0,2.0,1.0,False
1.0,7.0,0.0,False
1.0,2.0,1.0,False
1.0,1.0,0.0,False
2.0,5.0,1.0,False
1.0,1.0,0.0,False
1.0,4.0,1.0,False
1.0,1.0,0.0,False
1.0,3.0,0.0,False
1.0,2.0,1.0,False
2.0,5.0,0.0,False
1.0,2.0,0.0,False
2.0,7.0,1.0,False
1.0,1.0,0.0,False
1.0,3.0,0.0,False
1.0,2.0,1.0,False
1.0,1.0,0.0,False
1.0,3.0,1.0,False
1.0,4.0,0.0,False
1.0,2.0,1.0,False
1.0,1.0,0.0,False
1.0,3.0,1.0,False
1.0,2.0,1.0,False
1.0,3.0,0.0,False
1.0,2.0,0.0,False
1.0,2.0,1.0,False
1.0,2.0,0.0,False
1.0,1.0,0.0,False
1.0,3.0,0.0,False
1.0,3.0,1.0,False
1.0,5.0,0.0,False
1.0,3.0,1.0,False
1.0,2.0,1.0,False
1.0,1.0,0.0,False
5.0,39.0,1.0,True
5.0,32.0,1.0,True
6.0,53.0,1.0,True
4.0,58.0,1.0,True
4.0,64.0,1.0,True
4.0,78.0,1.0,True
4.0,40.0,1.0,True
4.0,43.0,1.0,True
5.0,28.0,1.0,True
4.0,19.0,1.0,True
4.0,40.0,1.0,True
4.0,19.0,1.0,True
4.0,18.0,1.0,True
5.0,51.0,1.0,True
5.0,28.0,1.0,True
5.0,38.0,1.0,True
4.0,21.0,1.0,True
4.0,51.0,1.0,True
5.0,22.0,1.0,True
6.0,34.0,1.0,True
8.0,116.0,1.0,True
10.0,44.0,1.0,True
23.0,227.0,1.0,True
13.0,100.0,1.0,True
4.0,41.0,1.0,True
9.0,141.0,1.0,True
11.0,103.0,1.0,True
4.0,56.0,1.0,True
4.0,32.0,1.0,True
20.0,63.0,1.0,True
6.0,50.0,1.0,True
5.0,27.0,1.0,True
5.0,51.0,1.0,True
5.0,28.0,1.0,True
55.0,5.0,1.0,True
33.0,4.0,1.0,True
46.0,4.0,1.0,True
