cyclomatic_complexity,number_of_instructions,has_methode_onReceive,full_name,is_code_smell
9,171,True,onReceive#com.amaze.filemanager.fragments.ProcessViewer$1,true
7,115,True,onReceive#com.amaze.filemanager.fragments.ProcessViewer$3,true
9,132,True,onReceive#com.amaze.filemanager.fragments.ProcessViewer$2,true
8,60,True,onReceive#com.amaze.filemanager.activities.MainActivity$21,true
5,40,True,onReceive#com.androidemu.nes.DeviceListActivity$3,true
8,41,True,onReceive#org.bottiger.podcast.receiver.NotificationReceiver,true
4,23,True,onReceive#org.bottiger.podcast.receiver.PowerReceiver,true
9,65,True,onReceive#org.bottiger.podcast.receiver.HeadsetReceiver,true
5,35,True,onReceive#org.bottiger.podcast.receiver.DownloadManagerReceiver,true
5,23,True,onReceive#org.mariotaku.twidere.nyan.NyanWallpaperService$NyanWallpaperEngine$1,true
7,45,True,onReceive#org.mariotaku.twidere.receiver.NotificationReceiver,true
10,35,True,onReceive#org.mariotaku.twidere.fragment.support.UserFollowersFragment$1,true
14,89,True,onReceive#org.mariotaku.twidere.service.RefreshService$1,true
9,53,True,onReceive#org.mariotaku.twidere.receiver.ConnectivityStateReceiver,true
11,45,True,onReceive#org.mariotaku.twidere.fragment.support.UserListFragment$1,true
6,22,True,onReceive#org.mariotaku.twidere.fragment.support.UserListsFragment$1,true
8,31,True,onReceive#org.mariotaku.twidere.fragment.support.UserListMembersFragment$1,true
5,20,True,onReceive#org.mariotaku.twidere.fragment.BaseFiltersFragment$1,true
10,31,True,onReceive#org.adaway.service.ConnectivityReceiver,true
9,29,True,onReceive#org.adaway.ui.BaseActivity$1,true
4,28,True,onReceive#jackpal.androidterm.Term$1,true
8,31,True,onReceive#org.wordpress.android.ui.WPActionBarActivity$8,true
4,64,True,onReceive#org.brandroid.openmanager.activities.BluetoothActivity$2,true
7,47,True,onReceive#org.adblockplus.android.Preferences$5,true
4,21,True,onReceive#org.adblockplus.android.ProxyService$3,true
10,110,True,onReceive#org.adblockplus.android.ProxyService$5,true
7,46,True,onReceive#org.adblockplus.android.updater.AlarmReceiver,true
7,41,True,onReceive#org.adblockplus.android.Starter,true
17,85,True,onReceive#aarddict.android.BaseDictionaryActivity$2,true
6,24,True,onReceive#com.eolwral.osmonitor.BootUpReceiver,true
7,167,True,onReceive#com.eolwral.osmonitor.ui.MiscFragment$1,true
8,50,True,onReceive#org.adw.launcher.UninstallShortcutReceiver,true
6,18,True,onReceive#org.adw.launcher.InstallShortcutReceiver,true
16,112,True,onReceive#org.adw.launcher.Launcher$ApplicationsIntentReceiver,true
6,33,True,onReceive#org.adw.launcher.CounterReceiver,true
45,8,True,onReceive#org.connectbot.service.ConnectivityReceiver,true
42,6,True,onReceive#net.gsantner.markor.activity.MainActivity$2,true
38,5,True,onReceive#com.amaze.filemanager.fragments.FtpServerFragment$1,true
90,8,True,onReceive#com.amaze.filemanager.fragments.FtpServerFragment$2,true
22,5,True,onReceive#com.amaze.filemanager.ui.notifications.FtpNotification,true
45,8,True,onReceive#com.amaze.filemanager.utils.MainActivityHelper$1,true
38,5,True,onReceive#com.amaze.filemanager.fragments.MainFragment$4,true
34,4,True,onReceive#com.amaze.filemanager.asynchronous.services.ftp.FtpReceiver,true
17,5,True,onReceive#net.pmarks.chromadoze.MediaButtonReceiver,true
28,6,True,onReceive#com.liato.bankdroid.appwidget.BankdroidWidgetProvider,true
36,7,True,onReceive#com.liato.bankdroid.liveview.PluginReceiver,true
1,2,True,onReceive#ch.blinkenlights.battery.BlinkenlightsBatteryChangeReceiver,false
1,2,False,<init>#ch.blinkenlights.battery.BlinkenlightsBatteryChangeReceiver,false
1,2,False,<init>#ch.blinkenlights.battery.BlinkenlightsBatteryBootReceiver,false
1,2,True,onReceive#ch.blinkenlights.battery.BlinkenlightsBatteryBootReceiver,false
1,3,False,<init>#ch.blinkenlights.battery.BlinkenlightsBatteryService$1,false
2,14,True,onReceive#ch.blinkenlights.battery.BlinkenlightsBatteryService$1,false
1,3,False,<init>#aarddict.android.BaseDictionaryActivity$2,false
17,56,True,onReceive#aarddict.android.BaseDictionaryActivity$2,false
1,8,True,onReceive#aarddict.android.DictionaryService$3,false
1,3,False,<init>#aarddict.android.DictionaryService$3,false
1,7,False,<init>#cl.coders.faketraveler.ApplyMockBroadcastReceiver,false
2,11,True,onReceive#cl.coders.faketraveler.ApplyMockBroadcastReceiver,false
3,16,False,a#com.amazon.device.associates.DASBroadcastReceiver,false
1,4,True,onReceive#com.amazon.device.associates.DASBroadcastReceiver,false
1,2,False,<clinit>#com.amazon.device.associates.DASBroadcastReceiver,false
1,3,False,<init>#com.amazon.device.associates.DASBroadcastReceiver,false
2,12,True,onReceive#com.amazon.device.associates.ResponseReceiver,false
1,2,False,<init>#com.amazon.device.associates.ResponseReceiver,false
1,1,False,<clinit>#com.amazon.device.associates.ResponseReceiver,false
1,2,True,onReceive#androidx.appcompat.app.f$d$1,false
1,3,False,<init>#androidx.appcompat.app.f$d$1,false
1,3,False,<init>#com.eolwral.osmonitor.ui.MiscFragment$1,false
18,108,True,onReceive#com.eolwral.osmonitor.ui.MiscFragment$1,false
1,3,False,<init>#com.eolwral.osmonitor.OSMonitorService$1,false
3,7,True,onReceive#com.eolwral.osmonitor.OSMonitorService$1,false
3,9,True,onReceive#com.eolwral.osmonitor.OSMonitorService$2,false
1,3,False,<init>#com.eolwral.osmonitor.OSMonitorService$2,false
6,12,True,onReceive#com.eolwral.osmonitor.BootUpReceiver,false
1,1,False,access$000#com.eolwral.osmonitor.BootUpReceiver,false
3,48,False,setCPU#com.eolwral.osmonitor.BootUpReceiver,false
1,2,False,prepareSetCPU#com.eolwral.osmonitor.BootUpReceiver,false
1,3,False,<init>#com.eolwral.osmonitor.BootUpReceiver,false
1,3,False,<init>#com.eolwral.osmonitor.OSMonitor$1,false
1,4,True,onReceive#com.eolwral.osmonitor.OSMonitor$1,false
2,4,False,updateAppWidget#com.liato.bankdroid.appwidget.BankdroidWidgetProvider,false
2,8,False,onDeleted#com.liato.bankdroid.appwidget.BankdroidWidgetProvider,false
1,2,False,<init>#com.liato.bankdroid.appwidget.BankdroidWidgetProvider,false
6,23,True,onReceive#com.liato.bankdroid.appwidget.BankdroidWidgetProvider,false
2,15,False,unblurAppWidget#com.liato.bankdroid.appwidget.BankdroidWidgetProvider,false
8,91,False,buildAppWidget#com.liato.bankdroid.appwidget.BankdroidWidgetProvider,false
4,30,False,buildAppWidget#com.liato.bankdroid.appwidget.BankdroidWidgetProvider,false
5,24,False,disableAppWidget#com.liato.bankdroid.appwidget.BankdroidWidgetProvider,false
2,4,False,updateAppWidget#com.liato.bankdroid.appwidget.BankdroidWidgetProvider,false
2,15,False,blurAppWidget#com.liato.bankdroid.appwidget.BankdroidWidgetProvider,false
1,2,False,<init>#com.liato.bankdroid.liveview.PluginReceiver,false
7,28,True,onReceive#com.liato.bankdroid.liveview.PluginReceiver,false
1,3,False,<init>#com.liato.bankdroid.MainActivity$5,false
1,2,True,onReceive#com.liato.bankdroid.MainActivity$5,false
1,2,True,onReceive#com.liato.bankdroid.MainActivity$3,false
1,3,False,<init>#com.liato.bankdroid.MainActivity$3,false
2,5,True,onReceive#com.liato.bankdroid.StartupReceiver,false
4,17,False,setAlarm#com.liato.bankdroid.StartupReceiver,false
1,2,False,<init>#com.liato.bankdroid.StartupReceiver,false
3,11,False,updateNow#com.liato.bankdroid.StartupReceiver,false
1,2,False,<init>#com.liato.bankdroid.appwidget.BankdroidWidgetProvider_2x1,false
1,2,False,<init>#com.liato.bankdroid.appwidget.BankdroidWidgetProvider_4x1,false
1,3,False,onEnabled#com.mathi_amorim.emmanuel.metrictime.MetricTimeWidgetProvider,false
1,2,False,<init>#com.mathi_amorim.emmanuel.metrictime.MetricTimeWidgetProvider,false
1,2,False,onDisabled#com.mathi_amorim.emmanuel.metrictime.MetricTimeWidgetProvider,false
1,3,False,onUpdate#com.mathi_amorim.emmanuel.metrictime.MetricTimeWidgetProvider,false
1,2,False,<init>#com.mathi_amorim.emmanuel.metrictime.MetricTimeNotificationProvider,false
3,5,True,onReceive#com.mathi_amorim.emmanuel.metrictime.MetricTimeNotificationProvider,false
3,13,True,onReceive#com.mathi_amorim.emmanuel.metrictime.UpdateTimeService$2,false
1,3,False,<init>#com.mathi_amorim.emmanuel.metrictime.UpdateTimeService$2,false
