cyclomatic_complexity,number_of_instructions,has_methode_onReceive,is_code_smell
9,171,True,true
7,115,True,true
9,132,True,true
8,60,True,true
5,40,True,true
8,41,True,true
4,23,True,true
9,65,True,true
5,35,True,true
5,23,True,true
7,45,True,true
10,35,True,true
14,89,True,true
9,53,True,true
11,45,True,true
6,22,True,true
8,31,True,true
5,20,True,true
10,31,True,true
9,29,True,true
4,28,True,true
8,31,True,true
4,64,True,true
7,47,True,true
4,21,True,true
10,110,True,true
7,46,True,true
7,41,True,true
17,85,True,true
6,24,True,true
7,167,True,true
8,50,True,true
6,18,True,true
16,112,True,true
6,33,True,true
45,8,True,true
42,6,True,true
38,5,True,true
90,8,True,true
22,5,True,true
45,8,True,true
38,5,True,true
34,4,True,true
17,5,True,true
28,6,True,true
36,7,True,true
1,2,True,false
1,2,False,false
1,2,False,false
1,2,True,false
1,3,False,false
2,14,True,false
1,3,False,false
17,56,True,false
1,8,True,false
1,3,False,false
1,7,False,false
2,11,True,false
3,16,False,false
1,4,True,false
1,2,False,false
1,3,False,false
2,12,True,false
1,2,False,false
1,1,False,false
1,2,True,false
1,3,False,false
1,3,False,false
18,108,True,false
1,3,False,false
3,7,True,false
3,9,True,false
1,3,False,false
6,12,True,false
1,1,False,false
3,48,False,false
1,2,False,false
1,3,False,false
1,3,False,false
1,4,True,false
2,4,False,false
2,8,False,false
1,2,False,false
6,23,True,false
2,15,False,false
8,91,False,false
4,30,False,false
5,24,False,false
2,4,False,false
2,15,False,false
1,2,False,false
7,28,True,false
1,3,False,false
1,2,True,false
1,2,True,false
1,3,False,false
2,5,True,false
4,17,False,false
1,2,False,false
3,11,False,false
1,2,False,false
1,2,False,false
1,3,False,false
1,2,False,false
1,2,False,false
1,3,False,false
1,2,False,false
3,5,True,false
3,13,True,false
1,3,False,false
2,5,True,false
1,3,False,false
3,10,True,false
1,2,False,false
1,1,False,false
1,4,False,false
1,3,False,false
1,8,False,false
5,15,True,false
1,1,True,false
1,2,False,false
1,2,True,false
1,3,False,false
1,2,False,false
3,9,True,false
3,7,True,false
1,2,False,false
1,2,False,false
6,21,True,false
1,1,False,false
1,8,False,false
1,3,False,false
1,4,False,false
4,15,True,false
1,3,False,false
1,3,False,false
6,27,True,false
11,30,True,false
1,3,False,false
3,6,True,false
1,5,False,false
1,2,False,false
2,55,False,false
1,2,False,false
1,2,False,false
1,2,False,false
1,2,True,false
5,11,True,false
1,2,False,false
2,12,False,false
1,2,False,false
1,2,True,false
1,3,False,false
2,12,False,false
1,2,False,false
1,3,False,false
8,28,True,false
1,3,False,false
2,4,True,false
8,64,True,false
1,3,False,false
1,3,False,false
2,4,True,false
1,2,False,false
7,29,True,false
1,2,False,false
4,16,True,false
1,2,True,false
1,3,False,false
2,8,True,false
1,3,False,false
5,11,True,false
1,3,False,false
1,3,False,false
2,12,True,false
1,3,False,false
1,2,True,false
3,9,True,false
1,2,False,false
3,10,False,false
9,54,True,false
1,1,False,false
1,2,False,false
3,31,False,false
1,2,False,false
1,2,False,false
21,75,True,false
1,3,False,false
1,2,False,false
8,19,True,false
1,2,False,false
1,7,False,false
4,12,True,false
1,3,False,false
1,2,False,false
1,1,False,false
1,2,False,false
7,50,False,false
16,95,True,false
6,39,False,false
8,25,False,false
3,4,False,false
1,2,False,false
1,2,False,false
1,12,False,false
3,9,True,false
1,2,False,false
1,1,False,false
2,9,False,false
1,2,False,false
1,2,False,false
1,1,False,false
1,1,False,false
1,0,False,false
1,2,False,false
4,15,False,false
2,4,False,false
1,1,False,false
2,5,False,false
1,0,False,false
2,3,False,false
1,1,False,false
1,1,False,false
6,45,False,false
8,34,False,false
1,1,False,false
1,2,False,false
9,36,False,false
1,2,False,false
1,2,False,false
3,18,False,false
1,1,False,false
2,10,False,false
1,8,False,false
4,15,False,false
1,2,False,false
4,22,False,false
5,22,False,false
3,16,False,false
1,3,False,false
10,24,False,false
1,1,False,false
1,3,False,false
1,2,False,false
1,1,False,false
3,11,False,false
1,9,False,false
1,2,False,false
3,13,False,false
1,2,False,false
1,2,False,false
1,1,False,false
16,59,False,false
1,2,False,false
1,3,False,false
3,8,False,false
1,2,False,false
1,2,False,false
2,13,False,false
1,3,False,false
1,2,False,false
2,8,False,false
9,20,True,false
1,2,False,false
7,18,False,false
6,32,False,false
7,33,False,false
8,27,False,false
1,2,False,false
16,37,False,false
1,3,False,false
18,62,False,false
2,4,False,false
1,1,False,false
1,2,False,false
8,50,False,false
1,9,False,false
2,4,False,false
1,2,False,false
3,7,False,false
1,5,False,false
11,39,False,false
1,2,False,false
3,4,False,false
1,1,False,false
7,24,False,false
3,7,False,false
1,5,False,false
1,1,False,false
1,1,False,false
3,11,False,false
1,0,False,false
8,41,False,false
3,7,False,false
1,1,False,false
1,1,False,false
2,15,False,false
1,2,False,false
1,2,False,false
1,28,False,false
1,2,False,false
1,2,False,false
1,1,False,false
2,4,False,false
1,2,False,false
1,1,False,false
1,1,False,false
1,8,False,false
1,1,False,false
1,2,False,false
1,1,False,false
11,45,False,false
1,2,False,false
1,1,False,false
2,3,False,false
1,3,False,false
2,6,False,false
1,2,False,false
1,1,False,false
1,1,False,false
1,2,False,false
2,11,False,false
1,1,False,false
1,3,False,false
1,1,False,false
7,35,False,false
3,7,False,false
3,23,False,false
8,17,False,false
1,2,False,false
2,11,False,false
7,37,False,false
1,2,False,false
7,48,False,false
1,2,False,false
5,12,False,false
2,10,False,false
10,58,False,false
1,7,False,false
1,2,False,false
1,1,False,false
4,19,False,false
1,1,False,false
1,1,False,false
1,2,False,false
1,1,False,false
1,2,False,false
2,42,False,false
3,7,False,false
2,5,False,false
1,2,False,false
1,3,False,false
1,1,False,false
1,3,False,false
2,4,False,false
1,4,False,false
1,2,False,false
1,2,False,false
1,3,False,false
11,38,False,false
1,4,False,false
2,2,False,false
2,4,False,false
1,2,False,false
1,2,False,false
2,9,False,false
1,3,False,false
1,2,False,false
3,10,True,false
2,12,False,false
2,4,False,false
3,19,False,false
3,6,False,false
1,9,False,false
4,8,False,false
1,9,False,false
8,30,True,false
1,2,False,false
2,7,True,false
1,2,False,false
2,15,False,false
1,1,False,false
5,17,True,false
2,3,False,false
3,9,False,false
1,1,False,false
1,1,False,false
1,4,False,false
1,2,False,false
1,3,False,false
2,8,False,false
1,1,False,false
2,11,False,false
1,1,False,false
