cyclomatic_complexity,number_of_instructions,has_methode_onReceive,is_code_smell
1,2,True,False
3,16,False,False
1,3,False,False
1,3,False,False
1,2,False,False
1,0,False,False
1,1,True,False
6,45,False,False
1,3,False,False
1,3,False,False
16,95,True,False
2,4,False,False
1,3,False,False
1,2,False,False
1,2,False,False
3,9,True,False
1,1,False,False
1,2,False,False
1,2,False,False
1,1,False,False
1,2,False,False
1,3,False,False
8,17,False,False
1,2,False,False
2,9,False,False
7,48,False,False
7,50,False,False
1,2,False,False
1,2,False,False
1,2,False,False
1,2,False,False
1,2,False,False
21,75,True,False
11,38,False,False
3,6,False,False
1,2,False,False
2,5,True,False
5,11,True,False
1,2,False,False
3,9,False,False
2,8,True,False
8,50,False,False
3,9,True,False
1,2,False,False
1,1,False,False
1,3,False,False
9,171,True,True
7,115,True,True
9,132,True,True
8,60,True,True
5,40,True,True
8,41,True,True
4,23,True,True
9,65,True,True
5,35,True,True
5,23,True,True
7,45,True,True
10,35,True,True
14,89,True,True
9,53,True,True
11,45,True,True
6,22,True,True
8,31,True,True
5,20,True,True
10,31,True,True
9,29,True,True
4,28,True,True
8,31,True,True
4,64,True,True
7,47,True,True
4,21,True,True
10,110,True,True
7,46,True,True
7,41,True,True
17,85,True,True
6,24,True,True
7,167,True,True
8,50,True,True
6,18,True,True
16,112,True,True
6,33,True,True
45,8,True,True
42,6,True,True
38,5,True,True
90,8,True,True
22,5,True,True
45,8,True,True
38,5,True,True
34,4,True,True
17,5,True,True
28,6,True,True
36,7,True,True
