cyclomatic_complexity,number_of_instructions,has_methode_onReceive,full_name
1,2,true,onReceive#ch.blinkenlights.battery.BlinkenlightsBatteryChangeReceiver
1,2,false,<init>#ch.blinkenlights.battery.BlinkenlightsBatteryChangeReceiver
1,2,false,<init>#ch.blinkenlights.battery.BlinkenlightsBatteryBootReceiver
1,2,true,onReceive#ch.blinkenlights.battery.BlinkenlightsBatteryBootReceiver
1,3,false,<init>#ch.blinkenlights.battery.BlinkenlightsBatteryService$1
2,14,true,onReceive#ch.blinkenlights.battery.BlinkenlightsBatteryService$1
1,3,false,<init>#aarddict.android.BaseDictionaryActivity$2
17,56,true,onReceive#aarddict.android.BaseDictionaryActivity$2
1,8,true,onReceive#aarddict.android.DictionaryService$3
1,3,false,<init>#aarddict.android.DictionaryService$3
1,7,false,<init>#cl.coders.faketraveler.ApplyMockBroadcastReceiver
2,11,true,onReceive#cl.coders.faketraveler.ApplyMockBroadcastReceiver
3,16,false,a#com.amazon.device.associates.DASBroadcastReceiver
1,4,true,onReceive#com.amazon.device.associates.DASBroadcastReceiver
1,2,false,<clinit>#com.amazon.device.associates.DASBroadcastReceiver
1,3,false,<init>#com.amazon.device.associates.DASBroadcastReceiver
2,12,true,onReceive#com.amazon.device.associates.ResponseReceiver
1,2,false,<init>#com.amazon.device.associates.ResponseReceiver
1,1,false,<clinit>#com.amazon.device.associates.ResponseReceiver
1,2,true,onReceive#androidx.appcompat.app.f$d$1
1,3,false,<init>#androidx.appcompat.app.f$d$1
1,3,false,<init>#com.eolwral.osmonitor.ui.MiscFragment$1
18,108,true,onReceive#com.eolwral.osmonitor.ui.MiscFragment$1
1,3,false,<init>#com.eolwral.osmonitor.OSMonitorService$1
3,7,true,onReceive#com.eolwral.osmonitor.OSMonitorService$1
3,9,true,onReceive#com.eolwral.osmonitor.OSMonitorService$2
1,3,false,<init>#com.eolwral.osmonitor.OSMonitorService$2
6,12,true,onReceive#com.eolwral.osmonitor.BootUpReceiver
1,1,false,access$000#com.eolwral.osmonitor.BootUpReceiver
3,48,false,setCPU#com.eolwral.osmonitor.BootUpReceiver
1,2,false,prepareSetCPU#com.eolwral.osmonitor.BootUpReceiver
1,3,false,<init>#com.eolwral.osmonitor.BootUpReceiver
1,3,false,<init>#com.eolwral.osmonitor.OSMonitor$1
1,4,true,onReceive#com.eolwral.osmonitor.OSMonitor$1
2,4,false,updateAppWidget#com.liato.bankdroid.appwidget.BankdroidWidgetProvider
2,8,false,onDeleted#com.liato.bankdroid.appwidget.BankdroidWidgetProvider
1,2,false,<init>#com.liato.bankdroid.appwidget.BankdroidWidgetProvider
6,23,true,onReceive#com.liato.bankdroid.appwidget.BankdroidWidgetProvider
2,15,false,unblurAppWidget#com.liato.bankdroid.appwidget.BankdroidWidgetProvider
8,91,false,buildAppWidget#com.liato.bankdroid.appwidget.BankdroidWidgetProvider
4,30,false,buildAppWidget#com.liato.bankdroid.appwidget.BankdroidWidgetProvider
5,24,false,disableAppWidget#com.liato.bankdroid.appwidget.BankdroidWidgetProvider
2,4,false,updateAppWidget#com.liato.bankdroid.appwidget.BankdroidWidgetProvider
2,15,false,blurAppWidget#com.liato.bankdroid.appwidget.BankdroidWidgetProvider
1,2,false,<init>#com.liato.bankdroid.liveview.PluginReceiver
