cyclomatic_complexity,number_of_instructions,has_methode_onReceive,is_code_smell
1,3,False,False
1,2,False,False
1,2,False,False
3,9,True,False
6,23,True,False
1,2,False,False
1,2,False,False
1,2,False,False
3,16,False,False
1,2,False,False
1,1,False,False
1,2,False,False
1,2,True,False
1,3,False,False
1,1,False,False
1,0,False,False
1,1,False,False
2,7,True,False
1,1,False,False
1,2,False,False
1,9,False,False
2,4,False,False
1,2,False,False
1,3,False,False
1,2,False,False
2,11,False,False
1,1,False,False
1,3,True,False
1,4,False,False
9,54,True,False
1,1,False,False
2,9,False,False
8,25,False,False
6,32,False,False
1,1,False,False
2,4,False,False
1,1,False,False
2,3,False,False
2,42,False,False
6,27,True,False
1,3,False,False
1,2,False,False
4,19,False,False
1,3,False,False
1,2,False,False
1,3,False,False
9,171,True,True
7,115,True,True
9,132,True,True
8,60,True,True
5,40,True,True
8,41,True,True
4,23,True,True
9,65,True,True
5,35,True,True
5,23,True,True
7,45,True,True
10,35,True,True
14,89,True,True
9,53,True,True
11,45,True,True
6,22,True,True
8,31,True,True
5,20,True,True
10,31,True,True
9,29,True,True
4,28,True,True
8,31,True,True
4,64,True,True
7,47,True,True
4,21,True,True
10,110,True,True
7,46,True,True
7,41,True,True
17,85,True,True
6,24,True,True
7,167,True,True
8,50,True,True
6,18,True,True
16,112,True,True
6,33,True,True
45,8,True,True
42,6,True,True
38,5,True,True
90,8,True,True
22,5,True,True
45,8,True,True
38,5,True,True
34,4,True,True
17,5,True,True
28,6,True,True
36,7,True,True
