is_static,full_name
true,org.codehaus.jackson.map.ser.ArraySerializers$StringArraySerializer
true,org.codehaus.jackson.map.deser.ArrayDeserializers$ByteDeser
true,org.codehaus.jackson.map.deser.StdDeserializer$LongDeserializer
true,aarddict.android.DictionariesActivity$3$1
true,org.codehaus.jackson.map.util.ObjectBuffer$Node
true,aarddict.Volume$FormatException
true,org.codehaus.jackson.map.ser.ContainerSerializers$IndexedListSerializer
true,org.codehaus.jackson.map.ser.ContainerSerializers$AsArraySerializer
true,org.codehaus.jackson.map.deser.ArrayDeserializers$IntDeser
true,org.codehaus.jackson.map.ser.BasicSerializerFactory$SerializerMapping
true,org.codehaus.jackson.map.deser.StdDeserializerProvider$WrappedDeserializer
true,org.codehaus.jackson.map.ser.StdSerializers$BooleanSerializer
true,org.codehaus.jackson.map.deser.StdDeserializer$PrimitiveOrWrapperDeserializer
true,org.codehaus.jackson.map.ext.JodaDeserializers$JodaDeserializer
true,org.codehaus.jackson.map.deser.StdDeserializer$CharacterDeserializer
true,org.codehaus.jackson.map.ser.PropertyBuilder$1
true,org.codehaus.jackson.map.deser.StdDeserializer$1
true,org.codehaus.jackson.map.ser.ArraySerializers$LongArraySerializer
true,org.codehaus.jackson.util.TokenBuffer$Segment
true,org.codehaus.jackson.impl.DefaultPrettyPrinter$Lf2SpacesIndenter
true,org.codehaus.jackson.map.DeserializationConfig$Feature
true,org.codehaus.jackson.map.deser.StdDeserializer$StringDeserializer
true,org.codehaus.jackson.map.deser.PropertyValue$Map
true,org.codehaus.jackson.map.ser.StdSerializerProvider$1
true,org.codehaus.jackson.annotate.JsonTypeInfo$As
true,org.codehaus.jackson.map.deser.StdKeyDeserializer$BoolKD
true,org.codehaus.jackson.node.TreeTraversingParser$1
true,org.codehaus.jackson.map.deser.ArrayDeserializers$LongDeser
true,org.codehaus.jackson.map.deser.StdDeserializer$BigDecimalDeserializer
true,org.codehaus.jackson.map.deser.StdKeyDeserializer$ShortKD
true,org.codehaus.jackson.map.deser.StdDeserializer$CalendarDeserializer
true,org.codehaus.jackson.map.ext.CoreXMLDeserializers$DOMDeserializer
true,org.codehaus.jackson.map.deser.ArrayDeserializers$ArrayDeser
true,org.codehaus.jackson.map.ext.JodaDeserializers$LocalDateTimeDeserializer
true,org.codehaus.jackson.JsonParser$NumberType
true,org.codehaus.jackson.map.deser.StdDeserializer$ClassDeserializer
true,org.codehaus.jackson.util.TokenBuffer$1
true,org.codehaus.jackson.map.deser.StdDeserializer$SqlDateDeserializer
true,org.codehaus.jackson.annotate.JsonTypeInfo$Id
true,org.codehaus.jackson.map.util.ClassUtil$EnumTypeLocator
true,org.codehaus.jackson.map.util.ArrayBuilders$IntBuilder
true,org.codehaus.jackson.map.deser.BaseNodeDeserializer$1
true,org.codehaus.jackson.map.deser.StdKeyDeserializer$DoubleKD
true,org.codehaus.jackson.map.ser.StdSerializerProvider$WrappedSerializer
true,org.codehaus.jackson.map.jsontype.impl.StdTypeResolverBuilder$1
true,org.codehaus.jackson.map.ser.ArraySerializers$AsArraySerializer
true,org.codehaus.jackson.map.KeyDeserializer$None
true,aarddict.android.ArticleViewActivity$4$1
true,org.codehaus.jackson.map.deser.SettableBeanProperty$FieldProperty
true,org.codehaus.jackson.map.ext.JodaSerializers$JodaSerializer
true,org.codehaus.jackson.map.ObjectMapper$DefaultTypeResolverBuilder
true,org.codehaus.jackson.JsonGenerator$Feature
true,org.codehaus.jackson.map.ext.JodaSerializers$DateTimeSerializer
true,org.codehaus.jackson.map.introspect.VisibilityChecker$Std
true,org.codehaus.jackson.map.deser.StdKeyDeserializer$LongKD
true,org.codehaus.jackson.map.JsonMappingException$Reference
true,org.codehaus.jackson.map.JsonDeserializer$None
true,org.codehaus.jackson.annotate.JsonAutoDetect$1
true,org.codehaus.jackson.annotate.JsonAutoDetect$Visibility
true,org.codehaus.jackson.map.ser.StdSerializers$CalendarSerializer
true,aarddict.android.DictionariesActivity$DictListAdapter$ProgressListener$2
true,aarddict.android.DictionariesActivity$DictListAdapter$ProgressListener$1
true,aarddict.android.ArticleViewActivity$8$1
true,org.codehaus.jackson.map.util.ArrayBuilders$FloatBuilder
true,org.codehaus.jackson.map.introspect.BasicClassIntrospector$SetterAndGetterMethodFilter
true,aarddict.android.ArticleViewActivity$10$1
true,org.codehaus.jackson.map.deser.SettableBeanProperty$MethodProperty
true,org.codehaus.jackson.map.ext.JodaDeserializers$1
true,org.codehaus.jackson.map.ext.CoreXMLDeserializers$DOMNodeDeserializer
true,org.codehaus.jackson.map.ext.CoreXMLDeserializers$GregorianCalendarDeserializer
true,org.codehaus.jackson.map.deser.PropertyValue$Any
true,org.codehaus.jackson.map.deser.StdDeserializer$DoubleDeserializer
true,org.codehaus.jackson.map.ser.StdSerializers$StringSerializer
true,org.codehaus.jackson.map.annotate.JsonSerialize$Typing
true,org.codehaus.jackson.map.ext.CoreXMLDeserializers$DOMDocumentDeserializer
true,org.codehaus.jackson.map.ext.JodaSerializers$LocalDateTimeSerializer
true,org.codehaus.jackson.node.ContainerNode$NoNodesIterator
true,org.codehaus.jackson.map.ser.StdSerializers$IntLikeSerializer
true,org.codehaus.jackson.map.deser.ArrayDeserializers$DoubleDeser
true,org.codehaus.jackson.map.ser.StdSerializers$UtilDateSerializer
true,org.codehaus.jackson.map.deser.PropertyValue$Regular
true,org.codehaus.jackson.map.ser.StdSerializers$SqlDateSerializer
true,aarddict.android.LookupActivity$WordAdapter$1
true,org.codehaus.jackson.map.ser.ContainerSerializers$CollectionSerializer
true,org.codehaus.jackson.map.ser.SerializerCache$TypedKeyFull
true,org.codehaus.jackson.map.deser.StdDeserializer$NumberDeserializer
true,aarddict.Header$1
true,org.codehaus.jackson.map.ser.ArraySerializers$BooleanArraySerializer
true,org.codehaus.jackson.impl.JsonGeneratorBase$1
true,org.codehaus.jackson.impl.JsonParserBase$1
true,org.codehaus.jackson.map.util.PrimitiveArrayBuilder$Node
true,org.codehaus.jackson.map.deser.StdDeserializer$ByteDeserializer
true,org.codehaus.jackson.map.ser.FilteredBeanPropertyWriter$SingleView
true,org.codehaus.jackson.map.deser.StdKeyDeserializer$StringCtorKeyDeserializer
true,org.codehaus.jackson.map.ser.StdSerializers$DoubleSerializer
true,org.codehaus.jackson.map.ser.StdSerializers$LongSerializer
true,org.codehaus.jackson.map.ser.ContainerSerializers$IteratorSerializer
true,org.codehaus.jackson.map.deser.SettableBeanProperty$SetterlessProperty
true,org.codehaus.jackson.map.util.ArrayBuilders$ByteBuilder
true,org.codehaus.jackson.map.deser.Creator$StringBased
true,aarddict.android.BaseDictionaryActivity$3$1
true,org.codehaus.jackson.map.util.ArrayBuilders$BooleanBuilder
true,aarddict.android.BaseDictionaryActivity$3$2
true,aarddict.Volume$InvalidSignatureException
true,org.codehaus.jackson.map.ser.StdSerializers$SqlTimeSerializer
true,org.codehaus.jackson.map.AnnotationIntrospector$Pair
true,aarddict.android.ArticleViewActivity$AnimationAdapter
true,org.codehaus.jackson.map.deser.StdDeserializer$IntegerDeserializer
true,org.codehaus.jackson.map.deser.UntypedObjectDeserializer$1
true,org.codehaus.jackson.map.ser.ArraySerializers$ObjectArraySerializer
true,org.codehaus.jackson.map.introspect.BasicClassIntrospector$GetterMethodFilter
true,org.codehaus.jackson.map.ser.StdSerializers$NonTypedScalarSerializer
true,org.codehaus.jackson.map.ser.ArraySerializers$ShortArraySerializer
true,org.codehaus.jackson.map.ser.StdSerializers$FloatSerializer
true,aarddict.android.ArticleView$ScrollListener
true,org.codehaus.jackson.map.ext.JodaDeserializers$DateMidnightDeserializer
true,org.codehaus.jackson.map.deser.ArrayDeserializers$BooleanDeser
true,org.codehaus.jackson.map.ser.FilteredBeanPropertyWriter$MultiView
true,org.codehaus.jackson.map.ser.ArraySerializers$FloatArraySerializer
true,org.codehaus.jackson.map.deser.StdKeyDeserializer$EnumKD
true,org.codehaus.jackson.node.NodeCursor$RootValue
true,org.codehaus.jackson.map.deser.Creator$PropertyBased
true,aarddict.android.DictionariesActivity$DictListAdapter$6
true,aarddict.android.DictionariesActivity$DictListAdapter$5
true,org.codehaus.jackson.map.deser.SettableBeanProperty$CreatorProperty
true,aarddict.android.DictionariesActivity$DictListAdapter$4
true,aarddict.android.DictionariesActivity$DictListAdapter$3
true,aarddict.android.DictionariesActivity$DictListAdapter$2
true,aarddict.android.DictionariesActivity$DictListAdapter$1
true,org.codehaus.jackson.map.deser.StdDeserializer$BigIntegerDeserializer
true,org.codehaus.jackson.node.ContainerNode$NoStringsIterator
true,org.codehaus.jackson.map.deser.Creator$NumberBased
true,org.codehaus.jackson.map.annotate.JsonSerialize$Inclusion
true,org.codehaus.jackson.map.JsonSerializer$None
true,org.codehaus.jackson.impl.DefaultPrettyPrinter$NopIndenter
true,org.codehaus.jackson.map.deser.FromStringDeserializer$URLDeserializer
true,aarddict.android.DictionariesActivity$1$1
true,org.codehaus.jackson.map.deser.ArrayDeserializers$CharDeser
true,org.codehaus.jackson.map.deser.ArrayDeserializers$ShortDeser
true,org.codehaus.jackson.map.deser.FromStringDeserializer$UUIDDeserializer
true,org.codehaus.jackson.node.NodeCursor$Array
true,org.codehaus.jackson.map.ser.ArraySerializers$CharArraySerializer
true,org.codehaus.jackson.map.ser.JdkSerializers$ClassSerializer
true,aarddict.android.LookupActivity$5$1
true,org.codehaus.jackson.map.deser.StdKeyDeserializer$CharKD
true,org.codehaus.jackson.map.deser.StdDeserializer$ShortDeserializer
true,org.codehaus.jackson.map.deser.FromStringDeserializer$CurrencyDeserializer
true,org.codehaus.jackson.util.TokenBuffer$Parser
true,org.codehaus.jackson.map.ser.JdkSerializers$FileSerializer
true,org.codehaus.jackson.map.ser.ContainerSerializers$IterableSerializer
true,org.codehaus.jackson.map.ObjectMapper$1
true,org.codehaus.jackson.map.ser.StdSerializers$SerializableSerializer
true,org.codehaus.jackson.JsonParser$Feature
true,org.codehaus.jackson.annotate.JsonSubTypes$Type
true,org.codehaus.jackson.map.ser.ArraySerializers$ByteArraySerializer
true,org.codehaus.jackson.map.deser.StdKeyDeserializer$ByteKD
true,org.codehaus.jackson.map.deser.StdDeserializer$BooleanDeserializer
true,org.codehaus.jackson.map.util.ArrayBuilders$LongBuilder
true,aarddict.android.ArticleViewActivity$12$1
true,org.codehaus.jackson.map.util.ArrayBuilders$ShortBuilder
true,org.codehaus.jackson.map.ext.JodaDeserializers$DateTimeDeserializer
true,org.codehaus.jackson.map.ser.SerializerCache$UntypedKeyRaw
true,org.codehaus.jackson.map.deser.ArrayDeserializers$StringDeser
true,org.codehaus.jackson.sym.CharsToNameCanonicalizer$Bucket
true,org.codehaus.jackson.map.deser.StdKeyDeserializer$IntKD
true,org.codehaus.jackson.map.ext.CoreXMLDeserializers$QNameDeserializer
true,org.codehaus.jackson.map.introspect.BasicClassIntrospector$SetterMethodFilter
true,aarddict.android.DictionariesActivity$DictListAdapter$ProgressListener
true,org.codehaus.jackson.map.deser.BeanDeserializer$1
true,org.codehaus.jackson.node.NodeCursor$Object
true,aarddict.Volume$InvalidFormatVersionException
true,org.codehaus.jackson.map.ObjectMapper$DefaultTyping
true,org.codehaus.jackson.impl.DefaultPrettyPrinter$FixedSpaceIndenter
true,org.codehaus.jackson.util.BufferRecycler$CharBufferType
true,aarddict.Volume$CorruptedFileException
true,aarddict.android.LookupActivity$WordAdapter$1$1
true,org.codehaus.jackson.map.deser.FromStringDeserializer$URIDeserializer
true,org.codehaus.jackson.map.deser.JsonNodeDeserializer$ArrayDeserializer
true,org.codehaus.jackson.map.SerializationConfig$Feature
true,org.codehaus.jackson.map.ser.StdSerializers$TokenBufferSerializer
true,org.codehaus.jackson.map.ser.ArraySerializers$DoubleArraySerializer
true,org.codehaus.jackson.util.BufferRecycler$ByteBufferType
true,aarddict.android.DictionariesActivity$DictListAdapter$3$1
true,org.codehaus.jackson.map.ser.StdSerializers$NumberSerializer
true,org.codehaus.jackson.map.ser.StdSerializers$IntegerSerializer
true,org.codehaus.jackson.map.ext.JodaSerializers$DateMidnightSerializer
true,org.codehaus.jackson.map.deser.JsonNodeDeserializer$ObjectDeserializer
true,org.codehaus.jackson.map.deser.StdKeyDeserializer$FloatKD
true,org.codehaus.jackson.map.deser.Creator$Delegating
true,org.codehaus.jackson.impl.ByteSourceBootstrapper$1
true,org.codehaus.jackson.map.type.TypeParser$MyTokenizer
true,org.codehaus.jackson.map.deser.StdDeserializer$TokenBufferDeserializer
true,aarddict.Volume$MetadataTooBigException
true,org.codehaus.jackson.map.util.ArrayBuilders$DoubleBuilder
true,org.codehaus.jackson.sym.BytesToNameCanonicalizer$Bucket
true,org.codehaus.jackson.node.ObjectNode$NoFieldsIterator
true,org.codehaus.jackson.map.ser.ContainerSerializers$EnumSetSerializer
true,org.codehaus.jackson.map.ser.SerializerCache$TypedKeyRaw
true,org.codehaus.jackson.map.deser.StdKeyDeserializer$StringFactoryKeyDeserializer
true,org.codehaus.jackson.map.deser.ArrayDeserializers$FloatDeser
true,org.codehaus.jackson.map.ext.JodaDeserializers$LocalDateDeserializer
true,org.codehaus.jackson.map.ClassIntrospector$MixInResolver
true,org.codehaus.jackson.map.ser.ArraySerializers$IntArraySerializer
true,org.codehaus.jackson.map.deser.FromStringDeserializer$PatternDeserializer
true,org.codehaus.jackson.map.ext.JodaSerializers$LocalDateSerializer
true,org.codehaus.jackson.map.deser.StdDeserializer$FloatDeserializer
true,org.codehaus.jackson.map.ext.CoreXMLDeserializers$DurationDeserializer
true,org.codehaus.jackson.map.deser.StdDeserializer$StackTraceElementDeserializer
true,cl.coders.faketraveler.MainActivity$6
true,cl.coders.faketraveler.MainActivity$5
true,cl.coders.faketraveler.MainActivity$SourceChange
true,com.eleybourn.bookcatalogue.utils.Utils$ConnectionInfo
true,com.actionbarsherlock.widget.SuggestionsAdapter$ChildViewCache
true,com.eleybourn.bookcatalogue.UpdateFromInternet$FieldUsages$Usages
true,com.eleybourn.bookcatalogue.booklist.BooklistStylePropertiesActivity$GroupsProperty$1
true,com.eleybourn.bookcatalogue.cropper.CropHighlightView$ModifyMode
true,com.actionbarsherlock.ActionBarSherlock$OnActionModeStartedListener
true,com.eleybourn.bookcatalogue.database.DbSync$Synchronizer
true,com.eleybourn.bookcatalogue.cropper.CropBitmapManager$ThreadStatus
true,com.eleybourn.bookcatalogue.CatalogueDBAdapter$TableInfo
true,com.eleybourn.bookcatalogue.utils.Terminator$Event
true,com.eleybourn.bookcatalogue.dialogs.PartialDatePickerFragment$OnPartialDatePickerListener
true,com.eleybourn.bookcatalogue.utils.SimpleTaskQueueProgressFragment$OnAllTasksFinishedListener
true,com.eleybourn.bookcatalogue.goodreads.GoodreadsUtils$6$1
true,com.eleybourn.bookcatalogue.goodreads.GoodreadsUtils$6$2
true,com.eleybourn.bookcatalogue.database.DbSync$SynchronizedDb$SynchronizedCursorFactory
true,com.eleybourn.bookcatalogue.TaskManager$TaskManagerController
true,com.eleybourn.bookcatalogue.dialogs.ImportTypeSelectionDialogFragment$OnImportTypeSelectionDialogResultListener
true,com.eleybourn.bookcatalogue.database.DbSync$Synchronizer$ExclusiveLock
true,com.eleybourn.bookcatalogue.goodreads.GoodreadsUtils$6$3
true,com.eleybourn.bookcatalogue.goodreads.GoodreadsUtils$6$4
true,com.eleybourn.bookcatalogue.backup.BackupUtils$1
true,com.eleybourn.bookcatalogue.backup.BackupUtils$2
true,com.eleybourn.bookcatalogue.messaging.MessageSwitch$RoutingSlip
true,com.actionbarsherlock.view.MenuItem$OnActionExpandListener
true,com.eleybourn.bookcatalogue.properties.ListProperty$ItemEntries
true,com.eleybourn.bookcatalogue.properties.Property$IntegerValue
true,com.eleybourn.bookcatalogue.ManagedTask$TaskController
true,com.actionbarsherlock.widget.SearchView$OnCloseListener
true,com.eleybourn.bookcatalogue.Fields$SpinnerAccessor
true,com.amazon.device.associates.a$1
true,com.actionbarsherlock.widget.ActivityChooserView$SetActivated
true,com.eleybourn.bookcatalogue.utils.HintManager$Hint
true,com.eleybourn.bookcatalogue.BookEditFragmentAbstract$BookEditManager
true,com.actionbarsherlock.internal.nineoldandroids.animation.Animator$AnimatorListener
true,com.eleybourn.bookcatalogue.goodreads.api.XmlFilter$ElementContext
true,com.eleybourn.bookcatalogue.utils.SimpleTaskQueue$SimpleTaskWrapper
true,com.eleybourn.bookcatalogue.cropper.CropMonitoredActivity$LifeCycleAdapter
true,com.eleybourn.bookcatalogue.Fields$FieldValidator
true,com.actionbarsherlock.internal.view.menu.MenuView$ItemView
true,com.eleybourn.bookcatalogue.filechooser.IFileManager$IFile
true,com.eleybourn.bookcatalogue.dialogs.PartialDatePicker$OnDateSetListener
true,com.eleybourn.bookcatalogue.utils.Utils$Factory
true,com.actionbarsherlock.view.ActionProvider$SubUiVisibilityListener
true,com.actionbarsherlock.internal.view.menu.MenuBuilder$Callback
true,com.eleybourn.bookcatalogue.goodreads.api.SimpleXmlFilter$XmlListener
true,com.actionbarsherlock.ActionBarSherlock$OnCreatePanelMenuListener
true,com.eleybourn.bookcatalogue.ManagedTask$TaskListener
true,com.eleybourn.bookcatalogue.messaging.MessageSwitch$MessageSender
true,com.eleybourn.bookcatalogue.utils.Base64$InputStream
true,com.actionbarsherlock.widget.ActivityChooserModel$OnChooseActivityListener
true,com.eleybourn.bookcatalogue.database.DbSync$Synchronizer$SyncLock
true,com.eleybourn.bookcatalogue.backup.Importer$OnImporterListener
true,com.actionbarsherlock.internal.view.menu.ActionMenuView$ActionMenuChildView
true,com.eleybourn.bookcatalogue.booklist.BooklistGroup$RowKinds
true,com.eleybourn.bookcatalogue.Author$1
true,com.eleybourn.bookcatalogue.SearchManager$TaskSwitch
true,com.eleybourn.bookcatalogue.AdministrationFunctions$4$2
true,com.eleybourn.bookcatalogue.utils.UpgradeMessageManager$UpgradeMessage
true,com.eleybourn.bookcatalogue.AdministrationFunctions$4$1
true,com.eleybourn.bookcatalogue.BookCatalogueClassic$ViewManager$TextViewInfo
true,com.actionbarsherlock.R$layout
true,com.eleybourn.bookcatalogue.BookEvents$BookEvent$BookEventHolder
true,com.eleybourn.bookcatalogue.cropper.CropImageViewTouchBase$Recycler
true,com.eleybourn.bookcatalogue.database.DbUtils$TableDefinition$FkReference
true,com.eleybourn.bookcatalogue.goodreads.GoodreadsRegister$4
true,com.eleybourn.bookcatalogue.utils.SimpleTaskQueue$SimpleTask
true,com.eleybourn.bookcatalogue.BooksMultitypeListHandler$MonthHolder
true,com.actionbarsherlock.view.MenuInflater$InflatedOnMenuItemClickListener
true,com.eleybourn.bookcatalogue.utils.Base64$OutputStream
true,com.actionbarsherlock.app.ActionBar$OnNavigationListener
true,com.eleybourn.bookcatalogue.widgets.TouchListView$DropListener
true,com.eleybourn.bookcatalogue.goodreads.api.ListReviewsApiHandler$ListReviewsFieldNames
true,com.eleybourn.bookcatalogue.TaskManager$OnTaskEndedMessage
true,com.eleybourn.bookcatalogue.TaskManager$OnToastMessage
true,com.eleybourn.bookcatalogue.utils.IsbnUtils$IsbnInfo
true,com.eleybourn.bookcatalogue.BooksOnBookshelf$1$1
true,com.eleybourn.bookcatalogue.booklist.BooklistGroup$BooklistSeriesGroup
true,com.eleybourn.bookcatalogue.utils.StorageUtils$1
true,com.eleybourn.bookcatalogue.database.DbUtils$JoinContext
true,com.eleybourn.bookcatalogue.filechooser.BackupFileDetails$1
true,com.eleybourn.bookcatalogue.utils.SimpleTaskQueueProgressFragment$FragmentTaskAbstract
true,com.eleybourn.bookcatalogue.Fields$AfterFieldChangeListener
true,com.actionbarsherlock.widget.SearchView$OnSuggestionListener
true,com.eleybourn.bookcatalogue.BcQueueManager$BcLegacyTask$1
true,com.actionbarsherlock.ActionBarSherlock$OnPrepareOptionsMenuListener
true,com.eleybourn.bookcatalogue.cropper.CropCropImage$4$1
true,com.actionbarsherlock.R$id
true,com.eleybourn.bookcatalogue.Series$1
true,com.actionbarsherlock.internal.widget.ActionBarView$SavedState$1
true,com.actionbarsherlock.R$integer
true,com.eleybourn.bookcatalogue.backup.BackupUtils$BundleAccessor
true,com.google.gdata.util.common.base.UnicodeEscaper$1
true,com.eleybourn.bookcatalogue.backup.BackupManager$2$1
true,net.philipwarner.taskqueue.Task$TaskState
true,com.actionbarsherlock.internal.widget.ScrollingTabContainerView$TabView
true,com.eleybourn.bookcatalogue.cropper.CropBitmapManager$State
true,com.eleybourn.bookcatalogue.goodreads.GoodreadsUtils$5$1
true,com.actionbarsherlock.internal.view.menu.MenuBuilder$ItemInvoker
true,com.eleybourn.bookcatalogue.BookDetailsReadOnly$BinaryYesNoEmptyFormatter
true,com.eleybourn.bookcatalogue.utils.UpgradeMessageManager$UpgradeMessages
true,com.eleybourn.bookcatalogue.Fields$RatingBarAccessor
true,com.eleybourn.bookcatalogue.CatalogueDBAdapter$1
true,com.eleybourn.bookcatalogue.CatalogueDBAdapter$2
true,com.actionbarsherlock.ActionBarSherlock$OnCreateOptionsMenuListener
true,com.amazon.device.associates.b$a
true,com.eleybourn.bookcatalogue.dialogs.ExportTypeSelectionDialogFragment$ExportSettings
true,com.eleybourn.bookcatalogue.Fields$FieldDataAccessor
true,com.eleybourn.bookcatalogue.Fields$DateFieldFormatter
true,com.eleybourn.bookcatalogue.AdministrationLibraryThing$3$1
true,com.amazon.device.associates.b$1
true,com.amazon.device.associates.b$3
true,com.amazon.device.associates.b$2
true,com.eleybourn.bookcatalogue.database.DbUtils$TableDefinition
true,com.amazon.device.associates.b$4
true,com.eleybourn.bookcatalogue.Fields$StringDataAccessor
true,com.eleybourn.bookcatalogue.utils.BookUtils$1
true,com.actionbarsherlock.internal.view.menu.ActionMenuPresenter$SavedState$1
true,com.eleybourn.bookcatalogue.booklist.BooklistGroup$BooklistAuthorGroup
true,com.amazon.device.associates.ProductPopoverActivity$a
true,com.eleybourn.bookcatalogue.scanner.ScannerManager$2
true,com.eleybourn.bookcatalogue.scanner.ScannerManager$1
true,com.eleybourn.bookcatalogue.scanner.ScannerManager$3
true,com.amazon.device.associates.AssociatesAPI$Config
true,com.amazon.device.associates.s$1
true,com.amazon.device.associates.ProductPopoverActivity$1
true,com.eleybourn.bookcatalogue.debug.Tracker$States
true,org.acra.util.HttpRequest$1
true,com.amazon.device.associates.DASBroadcastReceiver$1
true,com.actionbarsherlock.internal.nineoldandroids.animation.ValueAnimator$AnimatorUpdateListener
true,com.eleybourn.bookcatalogue.UpdateFromInternet$FieldUsages
true,com.eleybourn.bookcatalogue.cropper.CropUtil$1
true,com.eleybourn.bookcatalogue.utils.SoundManager$1
true,com.eleybourn.bookcatalogue.TaskManager$OnProgressMessage
true,com.eleybourn.bookcatalogue.utils.Utils$INextView
true,com.eleybourn.bookcatalogue.messaging.MessageSwitch$Message
true,com.actionbarsherlock.ActionBarSherlock$OnPreparePanelListener
true,com.eleybourn.bookcatalogue.booklist.BooklistGroup$UniqueMap
true,com.eleybourn.bookcatalogue.ManagedTask$TaskSwitch
true,com.eleybourn.bookcatalogue.database.DbSync$SynchronizedDb$DbOpener
true,com.eleybourn.bookcatalogue.BooksMultitypeListHandler$BooklistHolder
true,com.eleybourn.bookcatalogue.goodreads.api.SimpleXmlFilter$BuilderContext
true,com.eleybourn.bookcatalogue.backup.BackupWriter$BackupWriterListener
true,com.eleybourn.bookcatalogue.dialogs.StandardDialogs$SimpleDialogItem
true,com.actionbarsherlock.ActionBarSherlock$Implementation
true,com.eleybourn.bookcatalogue.utils.SimpleTaskQueue$OnTaskStartListener
true,org.acra.util.HttpRequest$SocketTimeOutRetryHandler
true,net.philipwarner.taskqueue.Listeners$EventActions
true,com.actionbarsherlock.view.MenuItem$OnMenuItemClickListener
true,org.acra.sender.GoogleFormSender$1
true,com.eleybourn.bookcatalogue.database.DbSync$Synchronizer$LockTypes
true,com.eleybourn.bookcatalogue.cropper.CropBitmapManager$ThreadSet
true,com.actionbarsherlock.internal.widget.ActionBarView$SavedState
true,com.eleybourn.bookcatalogue.database.DbSync$SynchronizedDb
true,com.eleybourn.bookcatalogue.goodreads.api.XmlFilter$XmlHandlerExt
true,com.eleybourn.bookcatalogue.CatalogueDBAdapter$InstanceRef
