is_static,full_name
false,ch.blinkenlights.android.vanilla.BastpUtil$RGLruCache
false,ch.blinkenlights.android.vanilla.FileSystemAdapter$Observer
false,ch.blinkenlights.android.vanilla.PlaybackService$Receiver
false,ch.blinkenlights.android.vanilla.PlaybackActivity$3
false,ch.blinkenlights.android.vanilla.PlaybackActivity$2
false,ch.blinkenlights.android.vanilla.PlaybackActivity$1
false,ch.blinkenlights.android.vanilla.PlaybackService$1
false,ch.blinkenlights.android.vanilla.ShowQueueActivity$2
false,ch.blinkenlights.android.vanilla.ShowQueueActivity$3
false,ch.blinkenlights.android.vanilla.ShowQueueActivity$1
false,ch.blinkenlights.android.vanilla.FullPlaybackActivity$2
false,ch.blinkenlights.android.vanilla.FullPlaybackActivity$1
false,ch.blinkenlights.android.vanilla.ReadaheadThread$1
false,ch.blinkenlights.android.vanilla.FileSystemAdapter$2
false,ch.blinkenlights.android.vanilla.FileSystemAdapter$1
false,ch.blinkenlights.android.vanilla.LibraryPagerAdapter$1
false,ch.blinkenlights.android.vanilla.LibraryPagerAdapter$FilePositionLruCache
false,ch.blinkenlights.android.vanilla.PreferencesActivity$ReplayGainFragment$1
false,ch.blinkenlights.android.vanilla.FilebrowserStartActivity$1
false,ch.blinkenlights.android.vanilla.LibraryActivity$2
false,ch.blinkenlights.android.vanilla.LibraryActivity$1
false,ch.blinkenlights.android.vanilla.LibraryActivity$3
false,com.amaze.filemanager.utils.share.ShareTask$1
false,com.amaze.filemanager.adapters.AppsAdapter$2
false,com.amaze.filemanager.adapters.AppsAdapter$1
false,com.amaze.filemanager.utils.SmbStreamer.StreamServer$1
false,com.amaze.filemanager.fragments.TabFragment$1
false,com.amaze.filemanager.activities.MainActivity$CheckForFiles
false,com.amaze.filemanager.adapters.RarAdapter$2
false,com.amaze.filemanager.adapters.RarAdapter$3
false,com.amaze.filemanager.adapters.RarAdapter$1
false,com.amaze.filemanager.fragments.Main$9
false,com.amaze.filemanager.fragments.Main$8
false,com.amaze.filemanager.fragments.Main$3
false,com.amaze.filemanager.fragments.Main$2
false,com.amaze.filemanager.fragments.Main$1
false,com.amaze.filemanager.fragments.Main$7
false,com.amaze.filemanager.fragments.Main$6
false,com.amaze.filemanager.fragments.Main$5
false,com.amaze.filemanager.fragments.Main$4
false,com.amaze.filemanager.activities.DbViewer$2
false,com.amaze.filemanager.adapters.Recycleradapter$3
false,com.amaze.filemanager.activities.DbViewer$1
false,com.amaze.filemanager.adapters.Recycleradapter$2
false,com.amaze.filemanager.adapters.Recycleradapter$5
false,com.amaze.filemanager.adapters.Recycleradapter$4
false,com.amaze.filemanager.adapters.Recycleradapter$1
false,com.amaze.filemanager.adapters.Recycleradapter$7
false,com.amaze.filemanager.adapters.Recycleradapter$6
false,com.amaze.filemanager.adapters.Recycleradapter$8
false,com.amaze.filemanager.services.CopyService$Doback
false,com.amaze.filemanager.utils.share.ShareAdapter$1
false,com.amaze.filemanager.adapters.ZipAdapter$1
false,com.amaze.filemanager.adapters.ZipAdapter$3
false,com.amaze.filemanager.adapters.ZipAdapter$2
false,com.amaze.filemanager.fragments.Main$10
false,com.amaze.filemanager.fragments.Main$11
false,com.amaze.filemanager.services.asynctasks.RarHelperTask$FileListSorter
false,com.amaze.filemanager.fragments.ZipViewer$1
false,com.amaze.filemanager.fragments.ZipViewer$3
false,com.amaze.filemanager.fragments.ZipViewer$2
false,com.amaze.filemanager.fragments.ZipViewer$5
false,com.amaze.filemanager.fragments.ZipViewer$4
false,com.amaze.filemanager.fragments.ZipViewer$6
false,com.amaze.filemanager.fragments.ProcessViewer$1
false,com.amaze.filemanager.fragments.ProcessViewer$3
false,com.amaze.filemanager.fragments.ProcessViewer$2
false,com.amaze.filemanager.fragments.AppsList$LoadListTask
false,com.amaze.filemanager.activities.MainActivity$12
false,com.amaze.filemanager.activities.MainActivity$13
false,com.amaze.filemanager.activities.MainActivity$14
false,com.amaze.filemanager.activities.MainActivity$15
false,com.amaze.filemanager.activities.MainActivity$10
false,com.amaze.filemanager.activities.MainActivity$11
false,com.amaze.filemanager.activities.MainActivity$16
false,com.amaze.filemanager.activities.MainActivity$17
false,com.amaze.filemanager.activities.MainActivity$18
false,com.amaze.filemanager.activities.MainActivity$19
false,com.amaze.filemanager.utils.Futils$8
false,com.amaze.filemanager.utils.Futils$9
false,com.amaze.filemanager.utils.Futils$4
false,com.amaze.filemanager.utils.Futils$5
false,com.amaze.filemanager.utils.Futils$6
false,com.amaze.filemanager.utils.Futils$7
false,com.amaze.filemanager.utils.Futils$1
false,com.amaze.filemanager.utils.Futils$2
false,com.amaze.filemanager.utils.Futils$3
false,com.amaze.filemanager.activities.MainActivity$23
false,com.amaze.filemanager.activities.MainActivity$24
false,com.amaze.filemanager.activities.MainActivity$25
false,com.amaze.filemanager.activities.MainActivity$26
false,com.amaze.filemanager.activities.MainActivity$20
false,com.amaze.filemanager.activities.MainActivity$21
false,com.amaze.filemanager.activities.MainActivity$22
false,com.amaze.filemanager.activities.MainActivity$27
false,com.amaze.filemanager.activities.MainActivity$28
false,com.amaze.filemanager.activities.MainActivity$29
false,com.amaze.filemanager.activities.MainActivity$34
false,com.amaze.filemanager.activities.MainActivity$35
false,com.amaze.filemanager.activities.MainActivity$36
false,com.amaze.filemanager.activities.MainActivity$37
false,com.amaze.filemanager.activities.MainActivity$30
false,com.amaze.filemanager.activities.MainActivity$31
false,com.amaze.filemanager.activities.MainActivity$32
false,com.amaze.filemanager.activities.MainActivity$33
false,com.amaze.filemanager.activities.MainActivity$38
false,com.amaze.filemanager.services.ExtractService$Doback
false,com.amaze.filemanager.activities.TextReader$4
false,com.amaze.filemanager.activities.TextReader$3
false,com.amaze.filemanager.activities.TextReader$2
false,com.amaze.filemanager.activities.TextReader$1
false,com.amaze.filemanager.fragments.preference_fragments.ColorPref$ColorAdapter
false,com.amaze.filemanager.utils.SmbStreamer.StreamServer$Response
false,com.amaze.filemanager.services.CopyService$1
false,com.amaze.filemanager.utils.SmbStreamer.StreamServer$HTTPSession
false,com.amaze.filemanager.ui.icons.IconHolder$WorkerHandler
false,com.amaze.filemanager.fragments.AppsList$1
false,com.amaze.filemanager.fragments.AppsList$2
false,com.amaze.filemanager.services.ZipTask$zip
false,com.amaze.filemanager.services.CopyService$copy
false,com.amaze.filemanager.adapters.AppsAdapter$ViewHolder
false,com.amaze.filemanager.adapters.DrawerAdapter$2
false,com.amaze.filemanager.adapters.DrawerAdapter$1
false,com.amaze.filemanager.fragments.preference_fragments.ColorPref$1
false,com.amaze.filemanager.utils.Futils$16
false,com.amaze.filemanager.utils.Futils$15
false,com.amaze.filemanager.utils.Futils$14
false,com.amaze.filemanager.utils.Futils$13
false,com.amaze.filemanager.utils.Futils$12
false,com.amaze.filemanager.utils.Futils$11
false,com.amaze.filemanager.utils.Futils$10
false,com.amaze.filemanager.fragments.preference_fragments.ColorPref$2
false,com.amaze.filemanager.adapters.HiddenAdapter$ViewHolder
false,com.amaze.filemanager.services.ZipTask$Doback
false,com.amaze.filemanager.services.asynctasks.ZipHelperTask$FileListSorter
false,com.amaze.filemanager.fragments.preference_fragments.Preffrag$11
false,com.amaze.filemanager.fragments.preference_fragments.Preffrag$10
false,com.amaze.filemanager.fragments.preference_fragments.Preffrag$13
false,com.amaze.filemanager.fragments.preference_fragments.Preffrag$12
false,com.amaze.filemanager.adapters.TabSpinnerAdapter$1
false,com.amaze.filemanager.activities.MainActivity$1
false,com.amaze.filemanager.activities.MainActivity$2
false,com.amaze.filemanager.services.ExtractService$1
false,com.amaze.filemanager.fragments.preference_fragments.Preffrag$5
false,com.amaze.filemanager.fragments.preference_fragments.Preffrag$6
false,com.amaze.filemanager.fragments.preference_fragments.Preffrag$3
