number_of_callers_not_null,is_init,is_static,is_override,uses_variables,call_external_methode,full_name
true,false,false,false,false,false,getItem#ch.blinkenlights.android.vanilla.MediaAdapter
true,false,false,false,false,false,sizeOf#ch.blinkenlights.android.vanilla.CoverCache$BitmapLruCache
true,false,false,false,false,false,getItemId#ch.blinkenlights.android.vanilla.FileSystemAdapter
true,false,false,false,false,false,onTimelineChanged#ch.blinkenlights.android.vanilla.PlaybackActivity
true,false,false,false,false,false,onPositionInfoChanged#ch.blinkenlights.android.vanilla.PlaybackActivity
true,false,false,false,false,false,onMediaChange#ch.blinkenlights.android.vanilla.PlaybackActivity
true,false,false,false,false,false,getCount#ch.blinkenlights.android.vanilla.TabOrderAdapter
true,false,false,false,false,false,getItem#ch.blinkenlights.android.vanilla.TabOrderAdapter
true,false,false,false,false,false,compare#ch.blinkenlights.android.vanilla.SongTimeline$FlagComparator
true,false,false,false,false,false,registerDataSetObserver#android.support.v4.view.PagerAdapter
true,false,false,false,false,false,notifyDataSetChanged#android.support.v4.view.PagerAdapter
true,false,false,false,false,false,finishUpdate#android.support.v4.view.PagerAdapter
true,false,false,false,false,false,getItemPosition#android.support.v4.view.PagerAdapter
true,false,false,false,false,false,startUpdate#android.support.v4.view.PagerAdapter
true,false,false,false,false,false,restoreState#android.support.v4.view.PagerAdapter
true,false,false,false,false,false,getPageTitle#android.support.v4.view.PagerAdapter
true,false,false,false,false,false,setPrimaryItem#android.support.v4.view.PagerAdapter
true,false,false,false,false,false,saveState#android.support.v4.view.PagerAdapter
true,false,false,false,false,false,unregisterDataSetObserver#android.support.v4.view.PagerAdapter
true,false,false,false,false,false,onPageSelected#android.support.v4.view.PagerAdapter
true,false,false,false,false,false,compare#ch.blinkenlights.android.vanilla.SongTimeline$IdComparator
true,false,false,false,false,false,onSupportContentChanged#android.support.v7.app.AppCompatActivity
true,false,false,false,false,false,onPrepareSupportNavigateUpTaskStack#android.support.v7.app.AppCompatActivity
true,false,false,false,false,false,onRetainCustomNonConfigurationInstance#android.support.v4.app.FragmentActivity
true,false,false,false,false,false,onAttachFragment#android.support.v4.app.FragmentActivity
true,false,false,false,false,false,getSupportFragmentManager#android.support.v4.app.FragmentActivity
true,false,false,false,false,false,onCreateOptionsMenu#android.support.v4.app.Fragment
true,false,false,false,false,false,onActivityCreated#android.support.v4.app.Fragment
true,false,false,false,false,false,onAttach#android.support.v4.app.Fragment
true,false,false,false,false,false,isInBackStack#android.support.v4.app.Fragment
true,false,false,false,false,false,onPrepareOptionsMenu#android.support.v4.app.Fragment
true,false,false,false,false,false,getEnterTransition#android.support.v4.app.Fragment
true,false,false,false,false,false,isHidden#android.support.v4.app.Fragment
true,false,false,false,false,false,onViewStateRestored#android.support.v4.app.Fragment
true,false,false,false,false,false,initState#android.support.v4.app.Fragment
true,false,false,false,false,false,onCreate#android.support.v4.app.Fragment
true,false,false,false,false,false,onCreateView#android.support.v4.app.Fragment
true,false,false,false,false,false,onCreateAnimation#android.support.v4.app.Fragment
true,false,false,false,false,false,getSharedElementEnterTransition#android.support.v4.app.Fragment
true,false,false,false,false,false,onStop#android.support.v4.app.Fragment
true,false,false,false,false,false,isDetached#android.support.v4.app.Fragment
true,false,false,false,false,false,onContextItemSelected#android.support.v4.app.Fragment
true,false,false,false,false,false,onSaveInstanceState#android.support.v4.app.Fragment
true,false,false,false,false,false,onOptionsMenuClosed#android.support.v4.app.Fragment
true,false,false,false,false,false,getExitTransition#android.support.v4.app.Fragment
true,false,false,false,false,false,getView#android.support.v4.app.Fragment
true,false,false,false,false,false,onDestroyOptionsMenu#android.support.v4.app.Fragment
true,false,false,false,false,false,onInflate#android.support.v4.app.Fragment
true,false,false,false,false,false,onActivityResult#android.support.v4.app.Fragment
true,false,false,false,false,false,getArguments#android.support.v4.app.Fragment
true,false,false,false,false,false,onOptionsItemSelected#android.support.v4.app.Fragment
true,false,false,false,false,false,getAllowEnterTransitionOverlap#android.support.v4.app.Fragment
true,false,false,false,false,false,getActivity#android.support.v4.app.Fragment
true,false,false,false,false,false,onHiddenChanged#android.support.v4.app.Fragment
true,false,false,false,false,false,onViewCreated#android.support.v4.app.Fragment
true,false,false,false,false,false,onResume#android.support.v4.app.Fragment
true,false,false,false,false,false,getFragmentManager#android.support.v4.app.Fragment
true,false,false,false,false,false,onDetach#android.support.v4.app.Fragment
true,false,false,false,false,false,isAdded#android.support.v4.app.Fragment
true,false,false,false,false,false,getAllowReturnTransitionOverlap#android.support.v4.app.Fragment
true,false,false,false,false,false,onDestroyView#android.support.v4.app.Fragment
true,false,false,false,false,false,onPause#android.support.v4.app.Fragment
true,false,false,false,false,false,calculatefilter#com.amaze.filemanager.fragments.Main
true,false,false,false,false,false,onNeutral#com.afollestad.materialdialogs.MaterialDialog$ButtonCallback
true,false,false,false,false,false,onPositive#com.afollestad.materialdialogs.MaterialDialog$ButtonCallback
true,false,false,false,false,false,onNegative#com.afollestad.materialdialogs.MaterialDialog$ButtonCallback
true,false,false,false,false,false,initMenu#com.amaze.filemanager.fragments.Main$6
true,false,false,false,false,false,onScrolled#android.support.v7.widget.RecyclerView$OnScrollListener
true,false,false,false,false,false,onScrollStateChanged#android.support.v7.widget.RecyclerView$OnScrollListener
true,false,false,false,false,false,hasStableIds#android.support.v7.widget.RecyclerView$Adapter
true,false,false,false,false,false,getItemViewType#android.support.v7.widget.RecyclerView$Adapter
true,false,false,false,false,false,onViewDetachedFromWindow#android.support.v7.widget.RecyclerView$Adapter
true,false,false,false,false,false,getItemId#android.support.v7.widget.RecyclerView$Adapter
true,false,false,false,false,false,onFailedToRecycleView#android.support.v7.widget.RecyclerView$Adapter
true,false,false,false,false,false,onViewRecycled#android.support.v7.widget.RecyclerView$Adapter
true,false,false,false,false,false,onAttachedToRecyclerView#android.support.v7.widget.RecyclerView$Adapter
true,false,false,false,false,false,onViewAttachedToWindow#android.support.v7.widget.RecyclerView$Adapter
true,false,false,false,false,false,onDetachedFromRecyclerView#android.support.v7.widget.RecyclerView$Adapter
true,false,false,false,false,false,hasAnyOfTheFlags#android.support.v7.widget.RecyclerView$ViewHolder
true,false,false,false,false,false,isBound#android.support.v7.widget.RecyclerView$ViewHolder
true,false,false,false,false,false,shouldBeKeptAsChild#android.support.v7.widget.RecyclerView$ViewHolder
true,false,false,false,false,false,setScrapContainer#android.support.v7.widget.RecyclerView$ViewHolder
true,false,false,false,false,false,isChanged#android.support.v7.widget.RecyclerView$ViewHolder
true,false,false,false,false,false,shouldIgnore#android.support.v7.widget.RecyclerView$ViewHolder
true,false,false,false,false,false,isInvalid#android.support.v7.widget.RecyclerView$ViewHolder
true,false,false,false,false,false,addFlags#android.support.v7.widget.RecyclerView$ViewHolder
true,false,false,false,false,false,getItemViewType#android.support.v7.widget.RecyclerView$ViewHolder
true,false,false,false,false,false,clearReturnedFromScrapFlag#android.support.v7.widget.RecyclerView$ViewHolder
true,false,false,false,false,false,needsUpdate#android.support.v7.widget.RecyclerView$ViewHolder
true,false,false,false,false,false,getItemId#android.support.v7.widget.RecyclerView$ViewHolder
true,false,false,false,false,false,isScrap#android.support.v7.widget.RecyclerView$ViewHolder
true,false,false,false,false,false,getPosition#android.support.v7.widget.RecyclerView$ViewHolder
true,false,false,false,false,false,saveOldPosition#android.support.v7.widget.RecyclerView$ViewHolder
true,false,false,false,false,false,clearTmpDetachFlag#android.support.v7.widget.RecyclerView$ViewHolder
true,false,false,false,false,false,isRemoved#android.support.v7.widget.RecyclerView$ViewHolder
true,false,false,false,false,false,setFlags#android.support.v7.widget.RecyclerView$ViewHolder
true,false,false,false,false,false,isTmpDetached#android.support.v7.widget.RecyclerView$ViewHolder
true,false,false,false,false,false,wasReturnedFromScrap#android.support.v7.widget.RecyclerView$ViewHolder
true,false,false,false,false,false,getLayoutPosition#android.support.v7.widget.RecyclerView$ViewHolder
true,false,false,false,false,false,clearOldPosition#android.support.v7.widget.RecyclerView$ViewHolder
true,false,false,false,false,false,resetInternal#android.support.v7.widget.RecyclerView$ViewHolder
true,false,false,false,false,false,stopIgnoring#android.support.v7.widget.RecyclerView$ViewHolder
true,false,false,false,false,false,isExecuting#com.stericson.RootTools.execution.Command
true,false,false,false,false,false,isFinished#com.stericson.RootTools.execution.Command
true,false,false,false,false,false,getExitCode#com.stericson.RootTools.execution.Command
true,false,false,false,false,false,setExitCode#com.stericson.RootTools.execution.Command
true,false,false,false,false,false,isPositionHeader#com.amaze.filemanager.adapters.ZipAdapter
true,false,false,false,false,false,appInstalledOrNot#com.amaze.filemanager.utils.share.ShareTask
true,false,false,false,false,false,onDraw#android.support.v7.widget.RecyclerView$ItemDecoration
true,false,false,false,false,false,onDrawOver#android.support.v7.widget.RecyclerView$ItemDecoration
true,false,false,false,false,false,getItemOffsets#android.support.v7.widget.RecyclerView$ItemDecoration
true,false,false,false,false,false,stripMultipartHeaders#com.amaze.filemanager.utils.SmbStreamer.StreamServer$HTTPSession
true,false,false,false,false,false,getCommandLineString#com.amaze.filemanager.services.CopyService$copy
true,false,false,false,false,false,contains#com.amaze.filemanager.services.asynctasks.LoadList
true,false,false,false,false,false,<init>#android.view.ViewGroup
true,false,false,false,false,false,getColonPosition#com.amaze.filemanager.utils.Futils
true,false,false,false,false,false,getLinkPosition#com.amaze.filemanager.utils.Futils
true,false,false,false,false,false,calculateInSampleSize#com.amaze.filemanager.utils.Futils
true,false,false,false,false,false,setScrollingCacheEnabled#android.support.v4.view.ViewPager
true,false,false,false,false,false,endDrag#android.support.v4.view.ViewPager
true,false,false,false,false,false,setOnAdapterChangeListener#android.support.v4.view.ViewPager
true,false,false,false,false,false,getAdapter#android.support.v4.view.ViewPager
true,false,false,false,false,false,setInternalPageChangeListener#android.support.v4.view.ViewPager
true,false,false,false,false,false,setOnPageChangeListener#android.support.v4.view.ViewPager
true,false,false,false,false,false,getCurrentItem#android.support.v4.view.ViewPager
true,false,false,false,false,false,getPageWidth#android.support.v4.view.PagerAdapter
true,false,false,false,false,false,getItemPosition#android.support.v4.view.PagerAdapter
true,false,false,false,false,false,saveState#android.support.v4.view.PagerAdapter
true,false,false,false,false,false,startUpdate#android.support.v4.view.PagerAdapter
true,false,false,false,false,false,getPageTitle#android.support.v4.view.PagerAdapter
