is_activity,has_onLowMemory,is_code_smell
True,True,False
True,True,False
True,True,False
True,True,False
True,True,False
True,True,False
True,True,False
True,True,False
True,True,False
True,True,False
True,True,False
True,True,False
True,True,False
True,True,False
True,True,False
True,True,False
True,True,False
True,True,False
True,True,False
True,True,False
True,True,False
True,True,False
True,True,False
True,True,False
True,False,True
True,False,True
True,False,True
True,False,True
True,False,True
True,False,True
True,False,True
True,False,True
True,False,True
True,False,True
True,False,True
True,False,True
True,False,True
True,False,True
True,False,True
True,False,True
True,False,True
True,False,True
True,False,True
True,False,True
True,False,True
True,False,True
True,False,True
True,False,True
