has_onLowMemory,extend_class,full_name
false,true,aarddict.android.Lookup
false,true,aarddict.android.Article
false,true,aarddict.android.DictionariesActivity
false,true,aarddict.android.ArticleViewActivity
false,true,aarddict.android.LookupActivity
false,true,aarddict.android.DictionaryInfoActivity
false,true,com.eleybourn.bookcatalogue.booklist.BooklistStylesActivity
false,true,com.eleybourn.bookcatalogue.BooksOnBookshelf
false,true,com.eleybourn.bookcatalogue.FieldVisibility
false,true,com.eleybourn.bookcatalogue.EditObjectList
false,true,com.eleybourn.bookcatalogue.goodreads.GoodreadsAuthorizationActivity
false,true,com.eleybourn.bookcatalogue.MainMenu
false,true,com.eleybourn.bookcatalogue.TaskListActivity
false,true,com.eleybourn.bookcatalogue.goodreads.GoodreadsExportFailuresActivity
false,true,com.eleybourn.bookcatalogue.BookCatalogue
false,true,com.eleybourn.bookcatalogue.goodreads.GoodreadsSearchResults
false,true,com.eleybourn.bookcatalogue.PreferencesBase
false,true,com.eleybourn.bookcatalogue.booklist.BooklistStyleGroupsActivity
false,true,com.eleybourn.bookcatalogue.EditSeriesList
false,true,com.eleybourn.bookcatalogue.BookISBNSearch
false,true,com.eleybourn.bookcatalogue.booklist.BooklistPreferencesActivity
false,true,com.eleybourn.bookcatalogue.cropper.CropCropImage
false,true,com.eleybourn.bookcatalogue.UpdateFromInternet
false,true,com.eleybourn.bookcatalogue.EditAuthorList
false,true,com.eleybourn.bookcatalogue.booklist.BooklistStylePropertiesActivity
false,true,com.eleybourn.bookcatalogue.AdministrationFunctions
false,true,com.eleybourn.bookcatalogue.Help
false,true,com.eleybourn.bookcatalogue.filechooser.BackupChooser
false,true,com.eleybourn.bookcatalogue.compat.BookCatalogueListActivity
false,true,com.eleybourn.bookcatalogue.AdministrationDonate
false,true,com.eleybourn.bookcatalogue.cropper.CropMonitoredActivity
false,true,com.eleybourn.bookcatalogue.goodreads.GoodreadsRegister
false,true,com.eleybourn.bookcatalogue.ActivityWithTasks
false,true,com.eleybourn.bookcatalogue.BookshelfEdit
false,true,com.eleybourn.bookcatalogue.OtherPreferences
false,true,com.eleybourn.bookcatalogue.Bookshelf
false,true,com.eleybourn.bookcatalogue.filechooser.FileChooser
false,true,com.eleybourn.bookcatalogue.AdministrationLibraryThing
false,true,com.eleybourn.bookcatalogue.compat.BookCatalogueActivity
false,true,com.eleybourn.bookcatalogue.AdministrationAbout
false,true,com.eleybourn.bookcatalogue.BindableItemListActivity
false,true,com.eleybourn.bookcatalogue.BookEdit
false,true,com.eleybourn.bookcatalogue.goodreads.GoodreadsSearchCriteria
false,true,com.eleybourn.bookcatalogue.SearchCatalogue
false,true,anupam.acrylic.EasyPaint
false,true,androidx.appcompat.app.c
false,true,ca.cmetcalfe.locationshare.MainActivity
false,true,androidx.activity.ComponentActivity
true,true,androidx.fragment.app.d
false,true,com.eolwral.osmonitor.OSMonitor
false,true,com.liato.bankdroid.AboutActivity
false,true,com.liato.bankdroid.appwidget.WidgetConfigureActivity
false,true,com.liato.bankdroid.SettingsActivity
false,true,com.liato.bankdroid.PairApplicationsActivity
false,true,com.liato.bankdroid.BankEditActivity
false,true,com.liato.bankdroid.TransactionsActivity
false,true,com.liato.bankdroid.MainActivity
false,true,com.liato.bankdroid.WebViewActivity
false,true,com.watabou.pixeldungeon.PixelDungeon
false,true,jackpal.androidterm.RunShortcut
false,true,jackpal.androidterm.RunScript
false,true,net.gsantner.markor.activity.openeditor.OpenEditorTodoActivity
false,true,net.gsantner.markor.activity.openeditor.OpenEditorQuickNoteActivity
false,true,net.gsantner.markor.activity.openeditor.OpenEditorLinkBoxActivity
false,true,org.adblockplus.android.Preferences
false,true,org.adblockplus.android.AdvancedPreferences
false,true,org.adw.library.licenses.LicensesActivity
false,true,org.adw.qk
false,true,org.adw.qn
false,true,org.adw.launcher.feedback.FeedBackActivity
false,true,org.adw.qy
false,true,org.adw.launcher.appsdrawerconfig.AppsDrawerConfigurationActivity
false,true,org.adw.library.adwthemes.ThemesMainActivity
false,true,org.adw.launcher.ADWResetDefaultActivity
false,true,org.adw.hi
false,true,org.adw.library.customwidget.CropActivity
false,true,org.adw.launcher.desktoplayout.DesktopSizeConfigurationActivity
false,true,org.adw.launcher.LauncherActivity
true,true,org.adw.bh
false,true,org.adw.bc
false,true,org.adw.bd
false,true,org.adw.be
false,true,org.adw.library.customwidget.TemplateManager
false,true,org.adw.launcher.ActivitiesListSelector
false,true,org.adw.library.customwidget.AdwPickerDialogActivity
false,true,org.adw.library.customwidget.ShareTemplatePicker
false,true,org.adw.launcher.IconPickerActivity
false,true,org.adw.launcher.backupmanager.BackupManagerActivity
false,true,org.adw.launcher.PreferencesActivity
false,true,org.adw.library.adwthemes.DetailThemeActivity
false,true,org.adw.launcher.usergesture.UserGestureConfigActivity
false,true,org.adw.launcher.folderappearance.FolderAppearanceEditorActivity
false,true,org.adw.yx
false,true,org.adw.library.customwidget.CustomWidgetEditorActivity
false,true,org.adw.launcher.PurchaseActivity
false,true,org.adw.launcher.iconappearance.IconAppearanceEditorActivity
false,true,org.adw.ahp
false,true,org.connectbot.HostListActivity
false,true,org.connectbot.PubkeyListActivity
false,true,org.connectbot.PortForwardListActivity
false,true,org.ligi.passandroid.ui.quirk_fix.USAirwaysLoadActivity
false,true,org.ligi.passandroid.ui.FullscreenBarcodeActivity
false,true,org.ligi.passandroid.ui.PassViewActivityBase
false,true,org.ligi.passandroid.ui.PassListActivity
false,true,org.ligi.passandroid.FullscreenMapActivity
false,true,org.ligi.passandroid.ui.quirk_fix.URLRewriteActivity
false,true,org.ligi.passandroid.ui.ExtractURLAsIphoneActivity
false,true,org.ligi.passandroid.ui.PassViewActivity
false,true,com.androidemu.nes.MainActivity
false,true,org.ale.openwatch.OWProfileActivity
false,true,org.ale.openwatch.OWMissionViewActivity
false,true,org.ale.openwatch.SettingsActivity
false,true,org.ale.openwatch.WebViewActivity
false,true,org.ale.openwatch.MapActivity
false,true,org.ale.openwatch.FancyLoginActivity
false,true,org.ale.openwatch.WhatHappenedActivity
false,true,org.ale.openwatch.fb.FaceBookSherlockActivity
false,true,org.ale.openwatch.LoginActivity
