has_onLowMemory,extend_class,full_name
false,false,ch.blinkenlights.android.vanilla.PlaylistActivity
false,false,ch.blinkenlights.android.vanilla.PlaybackActivity
false,false,ch.blinkenlights.android.vanilla.TabOrderActivity
false,false,ch.blinkenlights.android.vanilla.MiniPlaybackActivity
false,false,ch.blinkenlights.android.vanilla.ShowQueueActivity
false,false,ch.blinkenlights.android.vanilla.FilebrowserStartActivity
false,false,ch.blinkenlights.android.vanilla.FullPlaybackActivity
false,false,ch.blinkenlights.android.vanilla.PreferencesActivity
false,false,ch.blinkenlights.android.vanilla.LibraryActivity
false,false,ch.blinkenlights.android.vanilla.AudioPickerActivity
false,false,com.amaze.filemanager.activities.DbViewer
false,false,com.amaze.filemanager.activities.Preferences
false,false,com.amaze.filemanager.activities.MainActivity
false,false,com.amaze.filemanager.activities.TextReader
false,false,com.androidemu.nes.EmulatorSettings
false,false,com.androidemu.nes.FileChooser
false,false,com.androidemu.nes.MainActivity
false,false,com.androidemu.nes.EmulatorActivity
false,false,com.androidemu.nes.HelpActivity
false,false,com.androidemu.nes.StateSlotsActivity
false,false,com.androidemu.nes.KeyProfilesActivity
false,false,com.androidemu.nes.DeviceListActivity
false,false,com.androidemu.nes.CheatsActivity
false,false,anupam.acrylic.AboutActivity
false,false,anupam.acrylic.EasyPaint
false,false,anupam.acrylic.GraphicsActivity
false,false,anupam.acrylic.Splash
false,false,org.bottiger.podcast.TopActivity
false,false,org.bottiger.podcast.FragmentContainerActivity
false,false,org.bottiger.podcast.DrawerActivity
false,false,org.bottiger.podcast.MediaRouterPlaybackActivity
false,false,org.bottiger.podcast.ToolbarActivity
false,false,org.bottiger.podcast.PodcastSubscriberActivity
false,false,org.bottiger.podcast.FeedActivity
false,false,org.bottiger.podcast.DiscoveryFeedActivity
false,false,org.bottiger.podcast.SettingsActivity
false,false,org.mariotaku.twidere.activity.TwitterLinkHandlerActivity
false,false,org.mariotaku.twidere.activity.support.CustomTabEditorActivity
false,false,org.mariotaku.twidere.activity.support.BaseSupportDialogActivity
false,false,org.mariotaku.twidere.activity.support.ThemedFragmentActivity
false,false,org.mariotaku.twidere.activity.support.SignInActivity
false,false,org.mariotaku.twidere.activity.support.BaseAppCompatActivity
false,false,org.mariotaku.twidere.activity.support.ThemedAppCompatActivity
false,false,org.mariotaku.twidere.activity.UsageStatisticsActivity
false,false,org.mariotaku.twidere.activity.support.MediaViewerActivity
false,false,org.mariotaku.twidere.activity.ImageCropperActivity
false,false,org.mariotaku.twidere.activity.MainHondaJOJOActivity
false,false,org.mariotaku.twidere.activity.MainActivity
false,false,org.mariotaku.twidere.activity.support.DataImportActivity
false,false,org.mariotaku.twidere.activity.support.HomeActivity
false,false,org.mariotaku.twidere.activity.support.QuickSearchBarActivity
false,false,org.mariotaku.twidere.activity.SettingsActivity
false,false,org.mariotaku.twidere.activity.BasePreferenceActivity
false,false,org.mariotaku.twidere.activity.AppCompatPreferenceActivity
false,false,org.mariotaku.twidere.activity.support.AccountSelectorActivity
false,false,org.mariotaku.twidere.activity.TestActivity
false,false,org.mariotaku.twidere.activity.support.UserListSelectorActivity
false,false,org.mariotaku.twidere.activity.support.BrowserSignInActivity
false,false,org.mariotaku.twidere.activity.support.ThemedImagePickerActivity
false,false,org.mariotaku.twidere.activity.KeyboardShortcutPreferenceCompatActivity
false,false,org.mariotaku.twidere.activity.BaseThemedActivity
false,false,org.mariotaku.twidere.activity.AssistLauncherActivity
false,false,org.mariotaku.twidere.activity.support.APIEditorActivity
false,false,org.mariotaku.twidere.activity.SettingsWizardActivity
false,false,org.mariotaku.twidere.activity.support.ActivityPickerActivity
false,false,org.mariotaku.twidere.activity.CreateComposeShortcutActivity
false,false,org.mariotaku.twidere.activity.support.LinkHandlerActivity
false,false,org.mariotaku.twidere.activity.support.FileSelectorActivity
false,false,org.mariotaku.twidere.activity.NyanActivity
false,false,org.mariotaku.twidere.activity.support.BrowserActivity
false,false,org.mariotaku.twidere.activity.support.RequestPermissionsActivity
false,false,org.mariotaku.twidere.activity.support.DataExportActivity
false,false,org.mariotaku.twidere.activity.support.ColorPickerDialogActivity
false,false,org.mariotaku.twidere.activity.support.ComposeActivity
false,false,org.ligi.passandroid.ui.PassViewActivity
false,false,org.ligi.passandroid.ui.PassViewActivityBase
false,false,org.ligi.passandroid.ui.ExtractURLAsIphoneActivity
false,false,org.ligi.passandroid.ui.quirk_fix.URLRewriteActivity
