has_onLowMemory,extend_class,is_code_smell
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,False,true
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
True,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
True,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
False,True,false
True,False,false
